uai,nom,type_etab,secteur,academie,departement,commune,ips,lat,lon,n_profs,n_profs_taught,n_profs_tested_only,n_eleves,n_eleves_uniq,n_sessions,n_tests,sy_set
0020034B,Lycée polyvalent Pierre Méchain,lycee,Public,Amiens,Aisne,Laon,98.2,49.56085698931031,3.634550107206578,1,1,0,1,1,1,1,2025-2026
0060014H,Lycée général et technologique Jules Ferry,lycee,Public,Nice,Alpes-Maritimes,Cannes,113.3,43.55967544894346,7.021858225692245,1,0,1,0,0,0,1,2025-2026
0060031B,Lycée général et technologique Albert Calmette,lycee,Public,Nice,Alpes-Maritimes,Nice,117.5,43.70401307338582,7.2713763871002195,1,1,0,28,28,1,0,2025-2026
0060668U,Lycée général privé Mont Saint Jean,lycee,Privé,Nice,Alpes-Maritimes,Antibes,143.6,43.58099906733003,7.111349758581682,1,1,0,25,25,5,0,2025-2026
0080804F,"Lycée d'enseignement général, technologique et professionnel agricole de Rethel",lycee,Public,Reims,Ardennes,Rethel,,49.5298392993156,4.374310087231184,1,1,0,12,12,1,0,2023-2024
0100022V,Lycée général et technologique Chrestien de Troyes,lycee,Public,Reims,Aube,Troyes,107.5,48.2697098160697,4.077339374908083,2,2,0,51,51,3,0,2025-2026
0110023R,Lycée polyvalent Louise Michel,lycee,Public,Montpellier,Aude,Narbonne,100.7,43.18958280119593,3.0194500406021474,1,1,0,76,50,6,0,2025-2026
0120006S,Lycée polyvalent La Découverte,lycee,Public,Toulouse,Aveyron,Decazeville,102.7,44.56829786712825,2.255100258607372,1,1,0,20,20,1,1,2025-2026
0130010R,Lycée polyvalent Montmajour,lycee,Public,Aix-Marseille,Bouches-du-Rhône,Arles,91.8,43.6967512399414,4.6390382745872465,1,1,0,11,11,2,3,2024-2025
0130051K,Lycée général et technologique Marie Curie,lycee,Public,Aix-Marseille,Bouches-du-Rhône,Marseille  5e  Arrondissement,90.6,43.29373990341497,5.400600554641929,1,1,0,11,11,1,0,2025-2026
0140013N,Lycée général et technologique Malherbe,lycee,Public,Normandie,Calvados,Caen,129.1,49.17474566925929,-0.37308973026177494,1,1,0,24,24,2,2,2025-2026
0140014P,Lycée général et technologique Augustin Fresnel,lycee,Public,Normandie,Calvados,Caen,113.8,49.1638472588597,-0.35519374304232526,1,1,0,50,32,3,2,2024-2025|2025-2026
0180005H,Lycée général Alain Fournier,lycee,Public,Orléans-Tours,Cher,Bourges,108.6,47.10050314893511,2.4137697241098746,1,1,0,12,12,4,0,2023-2024
0180008L,Lycée polyvalent Pierre-Emile Martin - Lycée des métiers de l'ingénierie de l'énergie et de l'environnement,lycee,Public,Orléans-Tours,Cher,Bourges,104.5,47.07524842409908,2.405960207722748,1,0,1,0,0,0,1,2025-2026
0212045J,Lycée polyvalent Marey,lycee,Public,Dijon,Côte-d'Or,Beaune,106.9,47.02991281909782,4.850879519017569,1,1,0,97,71,3,5,2025-2026
0230051F,Lycée polyvalent Jean Favard,lycee,Public,Limoges,Creuse,Guéret,103.8,46.16763472828431,1.8557334973159072,1,1,0,84,84,4,3,2025-2026
0250010A,Lycée général et technologique Louis Pergaud,lycee,Public,Besançon,Doubs,Besançon,107.6,47.264557933036464,6.042339373613688,1,1,0,59,50,6,0,2023-2024|2024-2025
0260015A,Lycée général et technologique Alain Borne,lycee,Public,Grenoble,Drôme,Montélimar,112.6,44.55451964466936,4.745179968794982,1,1,0,11,11,1,0,2025-2026
0261505V,Lycée polyvalent Algoud-Laffemas - Lycée des métiers du numérique,lycee,Public,Grenoble,Drôme,Valence,106.7,44.918186245177196,4.916908181249479,1,1,0,19,19,3,0,2024-2025
0271582Y,Lycée général et technologique Marc Bloch,lycee,Public,Normandie,Eure,Val-de-Reuil,100.8,49.2682488269445,1.2026898590201793,1,1,0,3,3,1,0,2025-2026
0280021W,Lycée polyvalent Edouard Branly - Lycée des métiers des sciences et de l'industrie,lycee,Public,Orléans-Tours,Eure-et-Loir,Dreux,102.3,48.73089785965829,1.3783688238619873,1,1,0,8,8,1,0,2025-2026
0281047L,Lycée général et technologique Fulbert,lycee,Public,Orléans-Tours,Eure-et-Loir,Chartres,107.7,48.44571828486869,1.5081499052757152,1,1,0,20,20,2,1,2025-2026
0300052U,Lycée polyvalent André Chamson,lycee,Public,Montpellier,Gard,Le Vigan,103.7,43.98961960667231,3.6011304524320003,1,0,1,0,0,0,1,2025-2026
0300950V,Lycée polyvalent Albert Einstein,lycee,Public,Montpellier,Gard,Bagnols-sur-Cèze,102.7,44.161732020049385,4.6117063195147985,2,2,0,33,33,3,2,2024-2025
0301722J,Lycée général et technologique Jean Vilar,lycee,Public,Montpellier,Gard,Villeneuve-lès-Avignon,123.0,43.980979359209876,4.79051993015492,1,0,1,0,0,0,1,2025-2026
0301862L,Lycée polyvalent Lucie Aubrac,lycee,Public,Montpellier,Gard,Sommières,120.3,43.7774617011605,4.067523627131194,1,1,0,37,31,3,0,2025-2026
0310036W,Lycée général Pierre de Fermat,lycee,Public,Toulouse,Haute-Garonne,Toulouse,141.8,43.6032751508944,1.4398952901892104,2,2,0,98,78,6,0,2024-2025
0310047H,Lycée général et technologique Ozenne,lycee,Public,Toulouse,Haute-Garonne,Toulouse,126.4,43.60964697502873,1.4417296932885342,1,1,0,18,11,2,0,2024-2025
0311323V,Lycée général et technologique Joséphine Baker,lycee,Public,Toulouse,Haute-Garonne,Toulouse,101.2,43.584518442901285,1.3975365460346079,1,1,0,4,4,1,2,2024-2025
0312746S,Lycee polyvalent Marie Louise Dissard Françoise,lycee,Public,Toulouse,Haute-Garonne,Tournefeuille,125.5,43.576689708797176,1.3126805141947637,1,1,0,4,4,1,0,2025-2026
0313083H,Lycée polyvalent Simone de Beauvoir,lycee,Public,Toulouse,Haute-Garonne,Gragnague,129.5,43.695220304399406,1.5799314862887304,1,1,0,33,33,2,0,2024-2025|2025-2026
0313228R,Lycée polyvalent Lydie Salvayre,lycee,Public,Toulouse,Haute-Garonne,Auterive,,43.344804976943344,1.4747107086472113,1,1,0,21,21,1,0,2025-2026
0320002D,Lycée général et technologique Pardailhan,lycee,Public,Toulouse,Gers,Auch,118.6,43.65382826736935,0.5777504886624886,1,1,0,4,4,1,1,2024-2025
0320025D,Lycée polyvalent d'Artagnan - Lycée des métiers,lycee,Public,Toulouse,Gers,Nogaro,97.3,43.754191900515664,-0.02795020609659151,1,1,0,1,1,1,0,2025-2026
0331668J,Lycée professionnel Marcel Dassault,lycee,Public,Bordeaux,Gironde,Mérignac,92.4,44.83486785364598,-0.6489183011970837,1,1,0,31,31,3,0,2023-2024|2024-2025
0332745E,Lycée général Jean Monnet,lycee,Public,Bordeaux,Gironde,Blanquefort,121.8,44.91634371056325,-0.6347964845646115,1,1,0,28,28,1,0,2025-2026
0333273D,Lycée polyvalent Vaclav Havel,lycee,Public,Bordeaux,Gironde,Bègles,115.8,44.78623395902917,-0.5635368651660392,3,3,0,334,283,16,0,2025-2026
0333583R,Lycée polyvalent Robert Badinter,lycee,Public,Bordeaux,Gironde,Créon,125.5,44.767211833634036,-0.3633625380118293,1,1,0,31,31,1,1,2025-2026
0340002T,Lycée polyvalent Auguste Loubatières,lycee,Public,Montpellier,Hérault,Agde,103.8,43.30007019028133,3.483059564561272,2,0,2,0,0,0,3,2025-2026
0340039H,Lycée général et technologique Georges Clemenceau,lycee,Public,Montpellier,Hérault,Montpellier,115.0,43.602663456709585,3.873020613002154,1,1,0,94,35,6,0,2025-2026
0341794R,"Lycée polyvalent Jean-François Champollion, Lycée des métiers de la communication et des usages du numérique",lycee,Public,Montpellier,Hérault,Lattes,118.1,43.586276348733875,3.9312699294410627,1,1,0,78,67,11,1,2024-2025|2025-2026
0342066L,Lycée polyvalent Jean Jaurès,lycee,Public,Montpellier,Hérault,Saint-Clément-de-Rivière,127.1,43.710865475738224,3.833289619119724,2,0,2,0,0,0,3,2023-2024|2025-2026
0342090M,Lycée polyvalent victor Hugo,lycee,Public,Montpellier,Hérault,Lunel,117.2,43.68966322044608,4.136117779311383,1,1,0,44,44,4,0,2024-2025|2025-2026
0350011X,Lycée général et technologique Jean Guéhenno,lycee,Public,Rennes,Ille-et-Vilaine,Fougères,107.3,48.34843579021092,-1.2000949545422874,1,1,0,17,17,2,1,2025-2026
0350028R,Lycée général et technologique Bréquigny,lycee,Public,Rennes,Ille-et-Vilaine,Rennes,113.3,48.08457249925098,-1.688419551002567,1,0,1,0,0,0,1,2024-2025
0350710G,Lycée général François-René de Chateaubriand,lycee,Public,Rennes,Ille-et-Vilaine,Rennes,139.1,48.1233633632789,-1.6494796949846533,1,1,0,28,28,1,0,2025-2026
0352760K,Collège Germaine Tillion,college,Public,Rennes,Ille-et-Vilaine,La Mézière,123.6,48.209620117558444,-1.7442999284505625,1,0,1,0,0,0,1,2025-2026
0382203N,Lycée polyvalent Pablo Neruda - Lycée des métiers de l'électricité et de ses environnements connectés,lycee,Public,Grenoble,Isère,Saint-Martin-d'Hères,116.9,45.17341324185975,5.761840086943631,1,0,1,0,0,0,2,2023-2024|2024-2025
0382920T,Lycée général et technologique Marie Curie,lycee,Public,Grenoble,Isère,Echirolles,105.1,45.14620717334296,5.717149823733709,1,1,0,4,4,2,0,2024-2025
0400933X,Lycée général Sud des Landes,lycee,Public,Bordeaux,Landes,Saint-Vincent-de-Tyrosse,119.4,43.66847664353599,-1.2942923104994875,1,1,0,29,29,3,0,2025-2026
0420008F,Lycée polyvalent Jérémie de la Rue,lycee,Public,Lyon,Loire,Charlieu,108.1,46.16975983274846,4.1714295732686235,1,1,0,7,7,1,0,2025-2026
0421788R,Lycée général et technologique du Forez,lycee,Public,Lyon,Loire,Feurs,112.1,45.752524309194484,4.227440522060318,1,1,0,21,19,3,0,2025-2026
0441552Y,Lycée Polyvalent les Bourdonnières,lycee,Public,Nantes,Loire-Atlantique,Nantes,113.2,47.18616538280837,-1.5174799567161925,1,1,0,42,42,2,3,2025-2026
0442094M,Lycée Polyvalent Nicolas Appert - Lycée des métiers,lycee,Public,Nantes,Loire-Atlantique,Orvault,124.8,47.25224884428174,-1.6090696887606002,2,2,0,47,40,6,0,2025-2026
0490001K,Lycée général David d'Angers,lycee,Public,Nantes,Maine-et-Loire,Angers,126.1,47.466223023595994,-0.5444200738515328,2,2,0,24,24,2,0,2024-2025|2025-2026
0492061Z,Lycée général et technologique Auguste et Jean Renoir,lycee,Public,Nantes,Maine-et-Loire,Angers,121.3,47.47567444696256,-0.5695701307031868,1,1,0,15,15,1,1,2025-2026
0492089E,Lycée général et technologique Emmanuel Mounier,lycee,Public,Nantes,Maine-et-Loire,Angers,108.0,47.489917408044526,-0.5269851587014079,1,1,0,26,25,2,2,2025-2026
0492123S,Lycée polyvalent Jean Moulin,lycee,Public,Nantes,Maine-et-Loire,Angers,105.9,47.49133245870875,-0.5499195559262553,1,1,0,28,28,3,0,2025-2026
0492148U,Lycée général et technologique Jean Bodin,lycee,Public,Nantes,Maine-et-Loire,Les Ponts-de-Cé,114.0,47.4413691161452,-0.5285097047395081,1,1,0,29,29,1,1,2025-2026
0492430A,Lycée polyvalent Julien Gracq,lycee,Public,Nantes,Maine-et-Loire,Beaupréau-en-Mauges,103.9,47.192347918877395,-0.9926804071890801,1,1,0,12,12,1,1,2025-2026
