uai,n_pupils,n_pupil_rows,n_teacher_clones,n_teacher_accounts,first_dt,last_dt,acts,sy_list
0020034B,1,1,1,1,2026-01-23 19:01:49+00:00,2026-02-10 17:14:44+00:00,6944347,2025-2026
0030026M,0,0,1,1,2025-03-29 10:37:50+00:00,2025-03-29 10:37:50+00:00,3518185,2024-2025
0035508T,0,0,2,1,2026-01-22 02:41:09+00:00,2026-01-22 02:47:14+00:00,"3515488,3518185",2025-2026
0060014H,0,0,1,1,2026-02-27 10:00:38+00:00,2026-02-27 10:00:38+00:00,5909323,2025-2026
0060031B,28,28,0,0,2025-12-17 07:02:40+00:00,2025-12-17 08:09:47+00:00,3518185,2025-2026
0080804F,12,12,0,0,2024-05-30 07:19:40+00:00,2024-05-30 09:19:34+00:00,2548348,2023-2024
0100022V,50,51,0,0,2026-04-03 13:53:08+00:00,2026-06-05 12:16:52+00:00,"3515488,3518185",2025-2026
0110023R,50,76,0,0,2026-03-10 09:13:54+00:00,2026-05-06 08:34:11+00:00,"3515488,5862412,6659633,6944347",2025-2026
0120006S,20,20,1,1,2026-06-03 07:05:27+00:00,2026-06-03 07:19:40+00:00,8790616,2025-2026
0120031U,0,0,1,1,2025-05-01 17:18:23+00:00,2025-05-01 17:18:23+00:00,2548348,2024-2025
0123456A,0,0,1,1,2026-01-12 11:17:24+00:00,2026-01-12 11:17:24+00:00,3515488,2025-2026
0130010R,11,11,3,1,2025-05-24 15:48:46+00:00,2025-06-10 09:54:00+00:00,"3515488,3518185,5909323",2024-2025
0130051K,11,11,0,0,2025-11-10 07:22:13+00:00,2025-11-10 07:22:49+00:00,3515488,2025-2026
0140013N,24,24,2,1,2026-03-14 13:22:03+00:00,2026-03-22 19:19:16+00:00,3518185,2025-2026
0140014P,19,37,1,1,2025-03-13 12:37:29+00:00,2026-04-30 08:17:59+00:00,3515488,"2024-2025,2025-2026"
0141687H,13,13,1,1,2025-01-13 14:21:32+00:00,2025-01-30 13:09:22+00:00,3515488,2024-2025
0180005H,11,11,0,0,2024-04-30 07:57:22+00:00,2024-05-13 06:35:51+00:00,2548348,2023-2024
0180008L,0,0,1,1,2025-11-27 10:24:26+00:00,2025-11-27 10:24:26+00:00,2548348,2025-2026
0212045J,71,97,5,1,2026-05-29 16:59:42+00:00,2026-06-02 15:36:57+00:00,"2548348,3515488,3518185,6944347,8790616",2025-2026
0230051F,90,111,4,2,2025-12-08 12:06:55+00:00,2026-06-03 08:27:37+00:00,3515488,2025-2026
0250008Y,1,1,0,0,2025-05-20 14:35:35+00:00,2025-05-20 14:35:35+00:00,2548348,2024-2025
0250010A,49,58,0,0,2024-05-21 06:01:38+00:00,2025-05-22 14:11:04+00:00,"2548348,3518185,5909323","2023-2024,2024-2025"
0260015A,11,11,0,0,2026-01-05 14:38:35+00:00,2026-01-05 14:50:08+00:00,3518185,2025-2026
0261505V,19,19,0,0,2025-06-02 09:25:24+00:00,2025-06-10 12:16:25+00:00,2548348,2024-2025
0271582Y,3,3,0,0,2026-06-02 12:18:17+00:00,2026-06-02 12:42:32+00:00,3534169,2025-2026
0280021W,8,8,0,0,2026-02-13 10:50:11+00:00,2026-02-13 10:52:36+00:00,3518185,2025-2026
0281047L,20,20,1,1,2025-09-26 08:40:08+00:00,2025-09-30 15:26:30+00:00,3518185,2025-2026
0300052U,0,0,1,1,2026-04-09 09:13:29+00:00,2026-04-09 09:13:29+00:00,3515488,2025-2026
0300950V,33,33,2,2,2025-05-26 12:36:05+00:00,2025-06-04 07:23:16+00:00,"2548348,3515488,6659633",2024-2025
0301722J,0,0,1,1,2026-04-09 09:11:36+00:00,2026-04-09 09:11:36+00:00,9747648,2025-2026
0301862L,31,37,0,0,2026-06-01 06:31:50+00:00,2026-06-02 07:51:27+00:00,"3518185,5909323",2025-2026
0310036W,75,95,0,0,2025-05-19 14:42:35+00:00,2025-06-05 06:52:21+00:00,2548348,2024-2025
0310039Z,1,1,0,0,2025-06-05 06:49:37+00:00,2025-06-05 06:49:37+00:00,2548348,2024-2025
0310044E,2,2,0,0,2025-05-19 14:42:48+00:00,2025-05-19 14:43:13+00:00,2548348,2024-2025
