site_code,cap_acc,conf,uai,commune,academie,etab,statut,ftype
S0000,cfda2dd6,B,0350028R,Rennes,Rennes,Lycée général et technologique Bréquigny,forme,presentiel
S0001,bce8cad7,B,0601863Z,Compiègne,Amiens,Lycée polyvalent Charles de Gaulle - Lycée des métiers de la restauration et du tourisme,nouveau,
S0002,366967b7,B,0590064Z,Douai,Lille,Lycée général et technologique Jean-Baptiste Corot,forme,webdecouv
S0003,620cf34a,B,0130010R,Arles,Aix-Marseille,Lycée polyvalent Montmajour,nouveau,
S0004,fa18eaf5,A,0590093F,Haubourdin,Lille,Lycée polyvalent Beaupré - Lycée des Métiers de la Plasturgie,forme,webdecouv
S0005,132c6db4,A,0592921E,Roubaix,Lille,Lycée général et technologique privé Saint Rémi,forme,webdecouv
S0006,11b8c4b8,A,0791062A,Niort,Poitiers,Lycée général et technologique Venise Verte,nouveau,
S0007,b76f966a,B,0281047L,Chartres,Orléans-Tours,Lycée général et technologique Fulbert,nouveau,
S0008,ea95de08,A,0690023A,Lyon 2e  Arrondissement,Lyon,Lycée général et technologique Ampère,nouveau,
S0009,dc86e5c1,A,0280021W,Dreux,Orléans-Tours,Lycée polyvalent Edouard Branly - Lycée des métiers des sciences et de l'industrie,nouveau,
S0010,e2ffe6e3,A,0910626L,Orsay,Versailles,Lycée général et technologique Blaise Pascal,forme,webdecouv
S0011,15c9c469,A,0950650R,Sarcelles,Versailles,Lycée polyvalent Jean-Jacques Rousseau,nouveau,
S0012,e5fafbf1,A,0441552Y,Nantes,Nantes,Lycée Polyvalent les Bourdonnières,forme,webdecouv
S0013,d1bcaeee,A,0490001K,Angers,Nantes,Lycée général David d'Angers,forme,webdecouv
S0014,fb754ee4,A,0590119J,Lille,Lille,Lycée général et technologique Faidherbe,nouveau,
S0015,d7c56ea0,A,0641941M,Ciboure,Bordeaux,Collège privé Piarres Larzabal,forme,webdecouv
S0016,bac5c16e,A,0670002N,Barr,Strasbourg,Lycée général et technologique Schuré,nouveau,
S0017,670bbddf,A,0640228A,Hendaye,Bordeaux,Collège Irandatz,nouveau,
S0018,784d0ea9,A,0421788R,Feurs,Lyon,Lycée général et technologique du Forez,forme,webdecouv
S0019,f12f2b34,A,0750648X,Paris  3e  Arrondissement,Paris,Lycée général et technologique Victor Hugo,nouveau,
S0020,bd4e70bc,B,0910625K,Montgeron,Versailles,Lycée général et technologique Rosa Parks,nouveau,
S0021,bc3e6127,B,0750702F,Paris 16e  Arrondissement,Paris,Lycée général et technologique Jean de La Fontaine,forme,webdecouv
S0022,2d9371d5,A,0950650R,Sarcelles,Versailles,Lycée polyvalent Jean-Jacques Rousseau,forme,webdecouv
S0023,0d0c104b,A,0597005U,Estaires,Lille,Lycée polyvalent du Val de Lys,forme,presentiel
S0024,cde8e077,A,0590223X,Valenciennes,Lille,Lycée général et technologique du Hainaut,forme,presentiel
S0025,f071598c,A,0341794R,Lattes,Montpellier,"Lycée polyvalent Jean-François Champollion, Lycée des métiers de la communication et des usages du numérique",forme,presentiel
S0026,92a09a69,A,0940126B,Alfortville,Créteil,Lycée polyvalent Maximilien Perret,nouveau,
S0027,3b1bb0b8,A,0060031B,Nice,Nice,Lycée général et technologique Albert Calmette,nouveau,
S0028,52238db3,B,0313083H,Gragnague,Toulouse,Lycée polyvalent Simone de Beauvoir,nouveau,
S0029,0c96eaa6,B,0762601P,Neufchâtel-en-Bray,Normandie,Lycée polyvalent Georges Brassens,nouveau,
S0030,5e6d0d5e,A,0100022V,Troyes,Reims,Lycée général et technologique Chrestien de Troyes,nouveau,
S0031,26a1afd4,A,0110023R,Narbonne,Montpellier,Lycée polyvalent Louise Michel,forme,webdecouv
S0032,2a5e85c4,B,0310047H,Toulouse,Toulouse,Lycée général et technologique Ozenne,nouveau,
S0033,912c3958,A,0911913K,Gif-sur-Yvette,Versailles,Lycée général et technologique Vallée de Chevreuse,nouveau,
S0034,a4af5977,A,0442094M,Orvault,Nantes,Lycée Polyvalent Nicolas Appert - Lycée des métiers,forme,webdecouv
S0035,d662ebf3,A,0752248L,Paris  2e  Arrondissement,Paris,Collège César Franck,forme,presentiel
S0036,b1ff07ad,B,0750703G,Paris 16e  Arrondissement,Paris,Lycée général Molière,nouveau,
S0037,d97404da,A,0492123S,Angers,Nantes,Lycée polyvalent Jean Moulin,nouveau,
S0038,075d8d64,B,0932638M,Noisy-le-Grand,Créteil,Lycée polyvalent International de l'Est Parisien,forme,presentiel
S0039,30d0ba9b,B,0352760K,La Mézière,Rennes,Collège Germaine Tillion,forme,presentiel
S0040,3e6551cc,A,0596925G,Genech,Lille,Lycée polyvalent Charlotte Perriand,forme,webdecouv
S0041,922a7fd3,B,0020034B,Laon,Amiens,Lycée polyvalent Pierre Méchain,nouveau,
S0042,a6d83683,A,0333273D,Bègles,Bordeaux,Lycée polyvalent Vaclav Havel,forme,presentiel
S0043,bf0c74c1,A,0601826J,Senlis,Amiens,Lycée général et technologique Hugues Capet,forme,webdecouv
S0044,910a32e8,A,0770930T,Meaux,Créteil,Lycée général et technologique Henri Moissan,forme,webdecouv
S0045,984e73b4,A,0590198V,Dunkerque,Lille,Lycée professionnel Georges Guynemer,forme,presentiel
S0046,b7f35275,B,0910727W,Massy,Versailles,"Lycée polyvalent Parc de Vilgenis, lycée des métiers du numérique, de l'industrie et des services",forme,webdecouv
S0047,339d7266,B,0930833A,Aulnay-sous-Bois,Créteil,Lycée enseignement général et technologique Jean Zay,nouveau,
S0048,f3c1e199,A,0921399W,Montrouge,Versailles,Lycée général et technologique Maurice Genevoix,forme,webdecouv
S0049,faebc6ae,A,0660004W,Céret,Montpellier,"Lycée polyvalent Déodat de Séverac - Lycée des métiers du transport, de la logistique et des gestions associées",forme,presentiel
S0050,da6e4471,A,0930119Z,Drancy,Créteil,Lycée polyvalent Eugène Delacroix,nouveau,
S0051,846f87c3,A,0750796H,Paris 16e  Arrondissement,Paris,Lycée Professionnel Octave Feuilet,nouveau,
S0052,39ec84a9,A,0340002T,Agde,Montpellier,Lycée polyvalent Auguste Loubatières,forme,presentiel
S0053,ca7e3ee8,A,0920136Y,Clichy,Versailles,Lycée polyvalent Newton-Enrea,nouveau,
S0054,0d85c8bd,A,0781898P,Poissy,Versailles,Lycée général et technologique Charles de Gaulle,nouveau,
S0055,1f8a6ace,B,0120006S,Decazeville,Toulouse,Lycée polyvalent La Découverte,forme,webdecouv
S0056,96c57931,B,0622276M,Berck,Lille,Lycée polyvalent Jan Lavezzari,nouveau,
S0057,80e7ce68,B,0590122M,La Madeleine,Lille,Lycée polyvalent Valentine Labbé,nouveau,
S0058,ad5da9c9,B,0623328F,Hénin-Beaumont,Lille,Lycée Professionnel Henri Senez - Lycée des Métiers,nouveau,
S0059,ff70766a,B,0320002D,Auch,Toulouse,Lycée général et technologique Pardailhan,nouveau,
S0060,6e6dcb21,A,0300052U,Le Vigan,Montpellier,Lycée polyvalent André Chamson,forme,presentiel
S0061,798dd1bf,B,0301722J,Villeneuve-lès-Avignon,Montpellier,Lycée général et technologique Jean Vilar,forme,presentiel
S0062,60c4650a,A,0620006V,Arras,Lille,Lycée général et technologique Robespierre,nouveau,
S0063,4ecbc171,A,0781949V,Guyancourt,Versailles,Lycée général et technologique de Villaroy,forme,presentiel
S0064,abba6fc3,A,0910626L,Orsay,Versailles,Lycée général et technologique Blaise Pascal,forme,presentiel
S0065,f66ac633,A,0781949V,Guyancourt,Versailles,Lycée général et technologique de Villaroy,forme,presentiel
S0066,148cc2b5,A,0332745E,Blanquefort,Bordeaux,Lycée général Jean Monnet,forme,presentiel
S0067,d6483ab5,A,0333583R,Créon,Bordeaux,Lycée polyvalent Robert Badinter,forme,presentiel
S0068,c3fd7907,B,0140013N,Caen,Normandie,Lycée général et technologique Malherbe,nouveau,
S0069,83e0de8c,B,0212045J,Beaune,Dijon,Lycée polyvalent Marey,forme,presentiel
