pseudo,arch,behavior,n_eleves_uniq,n_sessions,n_activities_taught,n_tests,n_sy_taught,returned,returned_next_year,eligible_return,entry_sy,entry_month,entry_activity,entry_act_label,y1_sess,y1_el,y1_act,y1_max_sess,uai,type_etab,secteur,academie,departement,commune,ips,ips_bucket,n_prof_uai,site_present,etab_formed,form_month,taught_2425,taught_2526,active_2324,active_2425,active_2526
T000,deployeur_classe,testé_puis_enseigné,60,5,1,2,1,False,,False,2025-2026,1,3515488,Équation réduite de droite,5,60,1,26,0911913K,lycee,Public,Versailles,Essonne,Gif-sur-Yvette,145.1,favorise(>110),1.0,True,False,,False,True,False,False,True
T001,deployeur_classe,enseigné_sans_test,53,2,1,0,1,False,,False,2025-2026,5,3518185,Statistiques – classif. chiffres,2,53,1,27,0333273D,lycee,Public,Bordeaux,Gironde,Bègles,115.8,favorise(>110),3.0,True,True,2026-01,False,True,False,False,True
T002,deployeur_classe,enseigné_sans_test,49,3,1,0,1,False,,False,2025-2026,3,3518185,Statistiques – classif. chiffres,3,49,1,25,0624141P,lycee,Public,Lille,Pas-de-Calais,Calais,101.4,moyen(95-110),6.0,True,True,2024-10,False,True,False,False,True
T003,deployeur_classe,enseigné_sans_test,45,2,1,0,1,False,,False,2025-2026,9,3518185,Statistiques – classif. chiffres,2,45,1,25,0910727W,lycee,Public,Versailles,Essonne,Massy,111.6,favorise(>110),2.0,True,False,,False,True,False,False,True
T004,deployeur_classe,enseigné_sans_test,45,1,1,0,1,False,,False,2025-2026,4,3518185,Statistiques – classif. chiffres,1,45,1,45,0750693W,lycee,Public,Paris,Paris,Paris 15e  Arrondissement,132.7,favorise(>110),2.0,True,False,,False,True,False,False,True
T005,deployeur_classe,enseigné_sans_test,42,3,1,0,1,False,False,True,2024-2025,5,2548348,Intro IA – chiffres 2 et 7,3,62,1,41,0310036W,lycee,Public,Toulouse,Haute-Garonne,Toulouse,141.8,favorise(>110),2.0,False,False,,True,False,False,True,False
T006,deployeur_classe,enseigné_sans_test,41,1,1,0,1,False,,False,2025-2026,5,2548348,Intro IA – chiffres 2 et 7,1,41,1,41,0830025B,lycee,Public,Nice,Var,Hyères,105.5,moyen(95-110),1.0,False,False,,False,True,False,False,True
T007,deployeur_classe,enseigné_sans_test,41,2,1,0,1,False,False,True,2024-2025,11,3518185,Statistiques – classif. chiffres,2,41,1,21,0596925G,lycee,Public,Lille,Nord,Genech,129.9,favorise(>110),3.0,True,False,,True,False,False,True,False
T008,deployeur_classe,enseigné_sans_test,39,2,1,0,1,False,,False,2025-2026,12,3518185,Statistiques – classif. chiffres,2,39,1,23,0750673Z,lycee,Public,Paris,Paris,Paris 10e  Arrondissement,116.6,favorise(>110),2.0,False,False,,False,True,False,False,True
T009,deployeur_classe,enseigné_sans_test,38,4,1,0,1,False,False,True,2024-2025,4,2548348,Intro IA – chiffres 2 et 7,4,38,1,26,0780422K,lycee,Public,Versailles,Yvelines,Les Mureaux,101.8,moyen(95-110),2.0,False,False,,True,False,False,True,False
