teacher,niveau,canal,canal_source,formation_statut,formation_source,formation_timing,max_level,n_years_classe,first_classe_sy,retour_consecutif,reactivation,revenu,censored,basthon_user,basthon_evidence,basthon_only
00eaf1da,inconnu,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
02c9aaa8,lycee,capytale_direct,aucune,jamais,aucune,,5,1,2024-2025,False,False,False,False,0,,
04dc2465,inconnu,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
075d8d64,lycee,capytale_direct,individuel,forme,individuel,consolidation,3,0,,False,False,False,False,0,,
0af8f691,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
0bffd7c8,lycee,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
0c96eaa6,lycee,via_site,individuel,jamais,aucune,,5,1,2025-2026,False,False,False,True,1,classe,0
0d0c104b,lycee,via_site,individuel,forme,individuel,motrice,4,1,2025-2026,False,False,False,True,0,,
0d85c8bd,lycee,via_site,individuel,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
0dd1b538,inconnu,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
0dfed85f,lycee,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
0e21504b,lycee,via_site,proxy_etab,jamais,aucune,,2,0,,False,False,False,False,0,,
0e4e9466,lycee,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
0e9876d7,lycee,via_site,proxy_etab,jamais,aucune,,3,0,,False,False,False,False,0,,
0fe5083a,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,3,0,,False,False,False,False,0,,
10a22f3f,inconnu,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
11b8c4b8,lycee,via_site,individuel,jamais,aucune,,2,0,,False,False,False,False,0,,
132c6db4,lycee,via_site,individuel,forme,individuel,motrice,4,1,2025-2026,False,False,False,True,0,,
136c2f05,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2023-2024,False,False,False,False,0,,
13ab2929,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2023-2024,False,False,False,False,0,,
148cc2b5,lycee,via_site,individuel,forme,individuel,motrice,4,1,2025-2026,False,False,False,True,0,,
1538e5f6,inconnu,capytale_direct,aucune,jamais,aucune,,5,2,2024-2025,True,False,True,False,0,,
15c9c469,lycee,via_site,individuel,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
15e0a8c9,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,5,1,2025-2026,False,False,False,True,0,,
182bc51b,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
1909aa48,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,5,2,2024-2025,True,False,True,False,0,,
1bf15a62,lycee,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
1d3066af,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
1edef638,lycee,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
1f8a6ace,lycee,via_site,individuel,forme,individuel,motrice,4,1,2025-2026,False,False,False,True,0,,
21278bab,lycee,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
22af142c,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
22fb0cee,lycee,capytale_direct,aucune,jamais,aucune,,5,2,2024-2025,True,False,True,False,0,,
24943dcf,inconnu,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
263c2db8,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
2640c7da,lycee,capytale_direct,aucune,jamais,aucune,,4,2,2024-2025,True,False,True,False,0,,
26a1afd4,lycee,via_site,individuel,forme,individuel,motrice,5,1,2025-2026,False,False,False,True,0,,
29f7a901,inconnu,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
2a5e85c4,lycee,capytale_direct,individuel,jamais,aucune,,5,1,2024-2025,False,False,False,False,0,,
2d9371d5,lycee,via_site,individuel,forme,individuel,motrice,4,1,2025-2026,False,False,False,True,0,,
2dbf95b5,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2023-2024,False,False,False,False,0,,
2f6f9511,inconnu,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
30d0ba9b,college,via_site,individuel,forme,individuel,motrice,2,0,,False,False,False,False,0,,
32306be3,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
32ee0956,lycee,via_site,proxy_etab,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
3351eb09,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
339d7266,lycee,capytale_direct,individuel,jamais,aucune,,3,0,,False,False,False,False,0,,
343e6f38,inconnu,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
36672a3f,inconnu,capytale_direct,aucune,jamais,aucune,,5,2,2024-2025,True,False,True,False,0,,
366967b7,lycee,via_site,individuel,forme,individuel,motrice,5,2,2024-2025,True,False,True,False,0,,
390f1cd9,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,2,0,,False,False,False,False,0,,
39ebcce8,lycee,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
39ec84a9,lycee,via_site,individuel,forme,individuel,motrice,2,0,,False,False,False,False,0,,
3b1bb0b8,lycee,via_site,individuel,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
3b3be1d3,lycee,capytale_direct,aucune,jamais,aucune,,5,1,2024-2025,False,False,False,False,0,,
3be02491,lycee,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
3c045c78,lycee,capytale_direct,aucune,jamais,aucune,,4,2,2023-2024,True,False,True,False,0,,
3d298464,lycee,capytale_direct,aucune,jamais,aucune,,5,1,2024-2025,False,False,False,False,0,,
3e6551cc,lycee,capytale_direct,individuel,forme,individuel,consolidation,5,2,2024-2025,True,False,True,False,0,,
3f7750f3,lycee,via_site,proxy_etab,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
3ff6075d,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,3,0,,False,False,False,False,0,,
429d2167,lycee,capytale_direct,aucune,jamais,aucune,,5,1,2024-2025,False,False,False,False,0,,
42a60de1,inconnu,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
435ad9b3,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
45645a27,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
467dd5c8,inconnu,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
46b3cc72,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,3,0,,False,False,False,False,0,,
46f790b5,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,4,1,2024-2025,False,False,False,False,0,,
48969fb6,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
4a00ec74,lycee,via_site,proxy_etab,jamais,aucune,,2,0,,False,False,False,False,0,,
4aff5794,inconnu,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
4b323414,lycee,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
4bebaa6a,inconnu,capytale_direct,aucune,jamais,aucune,,4,1,2023-2024,False,False,False,False,0,,
4cfacc6d,lycee,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
4ecbc171,lycee,via_site,individuel,forme,individuel,motrice,4,1,2025-2026,False,False,False,True,0,,
52238db3,lycee,capytale_direct,individuel,jamais,aucune,,4,2,2024-2025,True,False,True,False,0,,
52955071,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,4,1,2025-2026,False,False,False,True,0,,
52e435e2,inconnu,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
54ed85e7,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2023-2024,False,False,False,False,0,,
55fe226c,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,5,1,2025-2026,False,False,False,True,0,,
56342834,lycee,capytale_direct,aucune,jamais,aucune,,4,2,2024-2025,True,False,True,False,0,,
58792426,lycee,via_site,proxy_etab,jamais,aucune,,3,0,,False,False,False,False,0,,
5dfd56a0,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
5e1b18c4,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
5e6d0d5e,lycee,via_site,individuel,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
60c4650a,lycee,via_site,individuel,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
620cf34a,lycee,via_site,individuel,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
622df556,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,5,1,2025-2026,False,False,False,True,0,,
63976c70,inconnu,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
649e8eea,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
65a31da7,lycee,via_site,proxy_etab,jamais,aucune,,5,1,2025-2026,False,False,False,True,0,,
670bbddf,college,via_site,individuel,jamais,aucune,,3,0,,False,False,False,False,0,,
6843d0d9,inconnu,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
6895ba78,lycee,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
690da12e,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
6a44e026,inconnu,capytale_direct,aucune,jamais,aucune,,5,1,2025-2026,False,False,False,True,0,,
6c3759c1,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
6d135795,lycee,capytale_direct,aucune,jamais,aucune,,2,0,,False,False,False,False,0,,
6d2eda01,lycee,via_site,proxy_etab,forme,proxy_etab,motrice,4,1,2025-2026,False,False,False,True,0,,
6e6dcb21,lycee,via_site,individuel,forme,individuel,motrice,2,0,,False,False,False,False,0,,
711150af,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
72503e00,lycee,capytale_direct,aucune,jamais,aucune,,3,0,,False,False,False,False,0,,
736414c0,lycee,via_site,proxy_etab,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
73e353a3,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
7522a10d,lycee,capytale_direct,aucune,jamais,aucune,,5,1,2025-2026,False,False,False,True,0,,
756b924a,inconnu,capytale_direct,aucune,jamais,aucune,,4,1,2024-2025,False,False,False,False,0,,
77a1a541,lycee,capytale_direct,aucune,jamais,aucune,,4,1,2025-2026,False,False,False,True,0,,
77ae623f,lycee,capytale_direct,aucune,jamais,aucune,,5,1,2024-2025,False,False,False,False,0,,
784d0ea9,lycee,via_site,individuel,forme,individuel,motrice,5,1,2025-2026,False,False,False,True,0,,
798dd1bf,lycee,via_site,individuel,forme,individuel,motrice,2,0,,False,False,False,False,0,,
