teacher,sy,level,n_sessions,n_classes,n_occasions,n_eleves,n_activites,n_activites_classe,self_test
00eaf1da,2024-2025,3,1,0,0,1,1,0,False
02c9aaa8,2024-2025,5,4,3,3,39,3,3,True
075d8d64,2023-2024,3,5,0,0,5,1,0,False
0af8f691,2025-2026,4,1,1,1,11,1,1,False
0bffd7c8,2023-2024,3,3,0,0,3,1,0,False
0c96eaa6,2025-2026,5,2,2,2,55,2,2,True
0d0c104b,2025-2026,4,1,1,1,28,1,1,True
0d85c8bd,2025-2026,4,1,1,1,14,1,1,True
0dd1b538,2025-2026,4,4,1,1,22,1,1,False
0e9876d7,2025-2026,3,3,0,0,11,1,0,False
0fe5083a,2025-2026,3,3,0,0,5,2,0,True
10a22f3f,2025-2026,3,1,0,0,1,1,0,False
132c6db4,2025-2026,4,1,1,1,19,1,1,True
136c2f05,2023-2024,4,4,1,1,9,1,1,True
13ab2929,2023-2024,4,1,1,1,12,1,1,True
148cc2b5,2025-2026,4,1,1,1,28,1,1,False
1538e5f6,2023-2024,3,1,0,0,1,1,0,False
1538e5f6,2024-2025,5,6,3,3,50,1,1,False
1538e5f6,2025-2026,5,3,2,2,49,1,1,False
15c9c469,2025-2026,4,2,2,1,18,1,1,False
15e0a8c9,2025-2026,5,3,3,3,58,2,2,True
182bc51b,2024-2025,4,1,1,1,21,1,1,False
1909aa48,2024-2025,4,1,1,1,26,1,1,False
1909aa48,2025-2026,5,3,3,3,83,3,3,False
1bf15a62,2024-2025,3,1,0,0,4,1,0,True
1d3066af,2023-2024,3,1,0,0,2,1,0,False
1d3066af,2024-2025,4,2,1,1,26,1,1,True
1f8a6ace,2025-2026,4,1,1,1,20,1,1,True
22af142c,2025-2026,4,4,2,1,20,2,1,False
22fb0cee,2024-2025,5,4,2,2,36,1,1,False
22fb0cee,2025-2026,4,3,1,1,20,1,1,False
263c2db8,2025-2026,4,1,1,1,26,1,1,True
2640c7da,2024-2025,4,1,1,1,29,1,1,True
2640c7da,2025-2026,4,1,1,1,18,1,1,True
26a1afd4,2025-2026,5,6,6,4,76,4,4,False
29f7a901,2024-2025,4,2,2,1,15,1,1,False
2a5e85c4,2024-2025,5,2,2,2,18,2,2,False
2d9371d5,2025-2026,4,1,1,1,18,1,1,True
2dbf95b5,2023-2024,4,4,1,1,12,1,1,False
32306be3,2025-2026,4,1,1,1,15,1,1,True
32ee0956,2025-2026,4,1,1,1,35,1,1,False
3351eb09,2024-2025,4,2,1,1,14,1,1,False
339d7266,2025-2026,3,2,0,0,8,1,0,True
343e6f38,2024-2025,4,1,1,1,15,1,1,False
36672a3f,2023-2024,3,1,0,0,1,1,0,False
36672a3f,2024-2025,5,3,2,2,33,2,2,False
36672a3f,2025-2026,5,3,3,3,53,2,2,False
366967b7,2024-2025,5,5,4,2,49,2,2,True
366967b7,2025-2026,5,6,5,3,50,2,2,True
3b1bb0b8,2025-2026,4,1,1,1,28,1,1,False
3b3be1d3,2024-2025,5,4,2,2,38,1,1,False
3be02491,2024-2025,3,1,0,0,4,1,0,False
3c045c78,2023-2024,4,2,1,1,11,1,1,False
3c045c78,2024-2025,4,1,1,1,20,1,1,False
3d298464,2024-2025,5,3,2,2,33,1,1,False
3e6551cc,2024-2025,5,3,3,2,31,1,1,False
3e6551cc,2025-2026,5,44,6,3,129,2,2,False
3f7750f3,2025-2026,4,2,1,1,25,1,1,False
3ff6075d,2025-2026,3,1,0,0,1,1,0,False
429d2167,2024-2025,5,3,2,2,62,1,1,False
42a60de1,2025-2026,4,4,1,1,14,2,1,False
435ad9b3,2025-2026,4,1,1,1,11,1,1,False
45645a27,2024-2025,4,1,1,1,9,1,1,True
467dd5c8,2024-2025,4,1,1,1,6,1,1,True
467dd5c8,2025-2026,3,12,0,0,25,1,0,True
46b3cc72,2025-2026,3,2,0,0,4,2,0,True
46f790b5,2024-2025,4,1,1,1,14,1,1,True
48969fb6,2024-2025,4,1,1,1,20,1,1,False
4aff5794,2024-2025,3,1,0,0,1,1,0,False
4b323414,2025-2026,3,1,0,0,4,1,0,False
4bebaa6a,2023-2024,4,1,1,1,6,1,1,False
4cfacc6d,2024-2025,3,2,0,0,4,1,0,False
4ecbc171,2025-2026,4,1,1,1,16,1,1,False
52238db3,2024-2025,4,1,1,1,19,1,1,False
52238db3,2025-2026,4,1,1,1,14,1,1,False
52955071,2025-2026,4,1,1,1,15,1,1,True
52e435e2,2024-2025,4,1,1,1,9,1,1,False
54ed85e7,2023-2024,4,1,1,1,12,1,1,False
55fe226c,2025-2026,5,2,2,2,53,1,1,False
56342834,2024-2025,4,3,2,1,26,1,1,False
56342834,2025-2026,4,1,1,1,18,1,1,False
58792426,2024-2025,3,1,0,0,1,1,0,False
5dfd56a0,2025-2026,4,1,1,1,15,1,1,True
5e1b18c4,2024-2025,4,2,1,1,23,2,1,False
5e6d0d5e,2025-2026,4,2,1,1,16,1,1,False
60c4650a,2025-2026,4,3,3,1,38,1,1,False
620cf34a,2024-2025,4,2,2,1,11,1,1,True
622df556,2024-2025,2,0,0,0,0,0,0,True
622df556,2025-2026,5,4,3,3,54,2,2,False
63976c70,2024-2025,3,3,0,0,5,3,0,False
649e8eea,2024-2025,4,1,1,1,6,1,1,False
65a31da7,2025-2026,5,2,2,2,28,1,1,False
670bbddf,2025-2026,3,3,0,0,5,2,0,True
6895ba78,2023-2024,3,1,0,0,3,1,0,False
690da12e,2024-2025,4,5,3,1,36,1,1,False
6a44e026,2024-2025,2,0,0,0,0,0,0,True
6a44e026,2025-2026,5,6,3,2,36,1,1,True
6c3759c1,2025-2026,4,1,1,1,28,1,1,False
6d2eda01,2025-2026,4,1,1,1,18,1,1,False
711150af,2025-2026,4,1,1,1,17,1,1,True
72503e00,2025-2026,3,2,0,0,6,1,0,True
736414c0,2025-2026,4,4,1,1,15,1,1,True
73e353a3,2025-2026,4,2,1,1,23,1,1,False
7522a10d,2025-2026,5,2,2,2,45,1,1,False
756b924a,2024-2025,4,3,1,1,26,1,1,False
77a1a541,2025-2026,4,1,1,1,7,1,1,False
77ae623f,2024-2025,5,2,2,2,30,1,1,False
784d0ea9,2025-2026,5,3,2,2,21,3,2,False
79e10a2b,2025-2026,4,2,1,1,17,1,1,True
7b0405f4,2025-2026,3,1,0,0,1,1,0,False
7d105776,2024-2025,4,1,1,1,36,1,1,False
7e00f65b,2025-2026,4,1,1,1,29,1,1,True
804fbcc4,2024-2025,4,1,1,1,28,1,1,False
80e7ce68,2024-2025,3,1,0,0,1,1,0,False
8276e978,2025-2026,4,1,1,1,41,1,1,False
83e0de8c,2025-2026,5,3,2,2,97,3,2,True
84648810,2024-2025,4,2,1,1,24,1,1,False
84648810,2025-2026,4,2,1,1,23,1,1,False
846f87c3,2025-2026,4,2,1,1,14,1,1,True
84818c4c,2025-2026,4,1,1,1,21,1,1,False
85e7026f,2025-2026,4,1,1,1,19,1,1,False
86bce963,2025-2026,4,1,1,1,45,1,1,False
88fe44df,2025-2026,4,1,1,1,15,1,1,True
8c3f4068,2025-2026,5,4,4,4,84,1,1,True
8d4112ce,2024-2025,4,3,1,1,11,1,1,False
8e696e24,2024-2025,4,1,1,1,25,1,1,True
91055fce,2025-2026,4,2,1,1,26,1,1,True
910a32e8,2025-2026,5,2,2,2,53,2,2,True
912c3958,2025-2026,5,5,4,3,60,1,1,True
