pseudo,arch,scenario,n_sessions,n_days,spread_days,n_acts,med_size,max_size,pct_small,pct_full,med_span,med_work_min,continuation_rate,n_classes,uses_multi_class,dom_slot,fixed_slot_n,demigroupe_days,pct_weekend,pct_evening,n_reprise_pupils,n_home_pupils,n_eleves_uniq,n_sy_taught,entry_sy,eligible_return,returned_next_year,academie,commune,ips,uai
T000,deployeur_classe,marathon,5,5,140,1,11.0,26,0.2,0.2,5.983333333333333,29.7,0.1,5,True,aprem,1,0,0.2,0.0,5,5,60,1,2025-2026,False,,Versailles,Gif-sur-Yvette,145.1,0911913K
T001,deployeur_classe,deploiement_classe,2,2,2,1,26.5,27,0.0,1.0,1.75,0.0,0.0,2,True,aprem,1,0,0.0,0.0,0,0,53,1,2025-2026,False,,Bordeaux,Bègles,115.8,0333273D
T002,deployeur_classe,deploiement_classe,3,3,7,1,13.0,25,0.0,0.3333333333333333,5.15,39.3,0.0,3,True,dejeuner,2,0,0.0,0.0,0,0,49,1,2025-2026,False,,Lille,Calais,101.4,0624141P
T003,deployeur_classe,deploiement_classe,2,2,4,1,22.5,25,0.0,1.0,62.09166666666667,0.0,0.0,2,True,matin,1,0,0.0,0.0,0,0,45,1,2025-2026,False,,Versailles,Massy,111.6,0910727W
T004,deployeur_classe,one_shot,1,1,0,1,45.0,45,0.0,1.0,75.85,106.4,1.0,1,False,dejeuner,1,0,0.0,0.0,0,0,45,1,2025-2026,False,,Paris,Paris 15e  Arrondissement,132.7,0750693W
T005,deployeur_classe,deploiement_classe,3,2,4,1,19.0,41,0.3333333333333333,0.6666666666666666,27.733333333333334,36.4,0.032,3,True,aprem,2,1,0.0,0.0,2,0,42,1,2024-2025,True,False,Toulouse,Toulouse,141.8,0310036W
T006,deployeur_classe,one_shot,1,1,0,1,41.0,41,0.0,1.0,134.75,0.0,0.049,1,False,dejeuner,1,0,0.0,0.0,1,1,41,1,2025-2026,False,,Nice,Hyères,105.5,0830025B
T007,deployeur_classe,deploiement_classe,2,2,3,1,20.5,21,0.0,1.0,14.133333333333333,22.0,0.0,2,True,aprem,1,0,0.0,0.0,0,0,41,1,2024-2025,True,False,Lille,Genech,129.9,0596925G
T008,deployeur_classe,deploiement_classe,2,2,71,1,19.5,23,0.0,1.0,17.65833333333333,0.0,0.0,2,True,aprem,1,0,0.0,0.0,0,3,39,1,2025-2026,False,,Paris,Paris 10e  Arrondissement,116.6,0750673Z
T009,deployeur_classe,deploiement_classe,4,3,41,1,5.5,26,0.5,0.25,7.683333333333334,0.0,0.053,4,True,aprem,2,1,0.0,0.0,0,0,38,1,2024-2025,True,False,Versailles,Les Mureaux,101.8,0780422K
