pseudo,arch,scenario,mathadata_id,act_label,n_eleves,date,hour,wd,slot,span_min,sy
T209,pionnier_intensif,soutien_recurrent,2548348,Intro IA – chiffres 2 et 7,5,2024-03-19,15,1,aprem,63.13333333333333,2023-2024
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,2,2024-04-02,12,1,dejeuner,10.316666666666666,2023-2024
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,4,2024-04-04,8,3,matin,52.31666666666667,2023-2024
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,3,2024-04-04,14,3,aprem,3.05,2023-2024
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,4,2024-04-05,10,4,matin,16.35,2023-2024
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,12,2025-01-15,10,2,matin,8.833333333333334,2024-2025
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,21,2025-01-28,9,1,matin,18.466666666666665,2024-2025
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,17,2026-01-23,10,4,matin,29.933333333333337,2025-2026
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,1,2026-01-23,14,4,aprem,0.0,2025-2026
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,1,2026-01-26,8,0,matin,0.0,2025-2026
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,1,2026-02-11,9,2,matin,0.0,2025-2026
T196,pionnier_intensif,demi_groupe,2548348,Intro IA – chiffres 2 et 7,12,2026-04-09,9,3,matin,9.783333333333331,2025-2026
T136,fidele_pluriannuel,marathon,2548348,Intro IA – chiffres 2 et 7,2,2024-04-04,8,3,matin,1.2333333333333334,2023-2024
T136,fidele_pluriannuel,marathon,2548348,Intro IA – chiffres 2 et 7,25,2025-03-03,8,0,matin,25.183333333333337,2024-2025
T134,fidele_pluriannuel,marathon,2548348,Intro IA – chiffres 2 et 7,1,2024-04-11,14,3,aprem,0.0,2023-2024
