pseudo,arch,n_eleves_uniq,n_sessions,n_activities_taught,n_tests,n_sy_taught,behavior,academie,type_etab,ips
T000,petit_groupe,1,1,1,0,1,enseigné_sans_test,,,
T001,pionnier_intensif,22,4,3,5,1,enseigné_puis_testé,Strasbourg,lycee,98.4
T002,deployeur_classe,5,5,1,0,1,enseigné_sans_test,Paris,lycee,125.8
T003,deployeur_classe,11,1,1,0,1,enseigné_sans_test,Aix-Marseille,lycee,90.6
T004,deployeur_classe,3,3,1,0,1,enseigné_sans_test,Aix-Marseille,lycee,99.5
T005,explorateur_multi,32,2,2,1,1,enseigné_puis_testé,Normandie,lycee,95.8
T006,deployeur_classe,28,1,1,2,1,testé_puis_enseigné,Lille,lycee,99.4
T007,deployeur_classe,14,1,1,1,1,enseigné_puis_testé,Versailles,lycee,126.0
T008,deployeur_classe,22,4,1,0,1,enseigné_sans_test,,,
T009,deployeur_classe,11,3,1,0,1,enseigné_sans_test,Créteil,lycee,85.3
T010,explorateur_multi,3,3,2,2,1,testé_puis_enseigné,Lille,lycee,82.9
T011,petit_groupe,1,1,1,0,1,enseigné_sans_test,,,
T012,deployeur_classe,19,1,1,1,1,testé_puis_enseigné,Lille,lycee,101.4
T013,deployeur_classe,9,4,1,1,1,enseigné_puis_testé,Versailles,lycee,107.8
T014,deployeur_classe,12,1,1,1,1,enseigné_puis_testé,Amiens,lycee,117.4
T015,deployeur_classe,28,1,1,0,1,enseigné_sans_test,Bordeaux,lycee,121.8
T016,pionnier_intensif,99,10,1,0,3,enseigné_sans_test,,,
T017,deployeur_classe,18,2,1,0,1,enseigné_sans_test,Versailles,lycee,81.4
T018,explorateur_multi,32,3,2,1,1,testé_puis_enseigné,Lille,lycee,115.4
T019,deployeur_classe,20,1,1,0,1,enseigné_sans_test,Créteil,lycee,113.7
T020,pionnier_intensif,79,4,3,0,2,enseigné_sans_test,Lille,lycee,101.4
T021,petit_groupe,4,1,1,2,1,testé_puis_enseigné,Toulouse,lycee,101.2
T022,fidele_pluriannuel,25,3,1,1,2,enseigné_puis_testé,Versailles,lycee,121.4
T023,deployeur_classe,20,1,1,1,1,enseigné_puis_testé,Toulouse,lycee,102.7
T024,explorateur_multi,18,4,2,0,1,enseigné_sans_test,Polynésie Française,lycee,
T025,pionnier_intensif,48,7,1,0,2,enseigné_sans_test,Créteil,lycee,89.4
T026,deployeur_classe,26,1,1,1,1,testé_puis_enseigné,Créteil,lycee,80.8
T027,fidele_pluriannuel,46,2,2,2,2,testé_puis_enseigné,Lille,lycee,111.8
T028,pionnier_intensif,50,6,4,0,1,enseigné_sans_test,Montpellier,lycee,100.7
T029,deployeur_classe,15,2,1,0,1,enseigné_sans_test,,,
T030,explorateur_multi,11,2,2,0,1,enseigné_sans_test,Toulouse,lycee,126.4
T031,deployeur_classe,18,1,1,1,1,testé_puis_enseigné,Versailles,lycee,81.4
T032,deployeur_classe,12,4,1,0,1,enseigné_sans_test,Orléans-Tours,lycee,108.6
T033,deployeur_classe,15,1,1,1,1,testé_puis_enseigné,Paris,lycee,122.7
T034,deployeur_classe,35,1,1,0,1,enseigné_sans_test,Reims,lycee,107.5
T035,deployeur_classe,14,2,1,0,1,enseigné_sans_test,Lille,lycee,111.8
T036,petit_groupe,8,2,1,1,1,testé_puis_enseigné,Créteil,lycee,93.0
T037,deployeur_classe,15,1,1,0,1,enseigné_sans_test,,,
T038,pionnier_intensif,67,7,2,0,3,enseigné_sans_test,,,
T039,pionnier_intensif,52,11,2,2,2,enseigné_puis_testé,Lille,lycee,100.6
T040,deployeur_classe,28,1,1,0,1,enseigné_sans_test,Nice,lycee,117.5
T041,deployeur_classe,38,4,1,0,1,enseigné_sans_test,Versailles,lycee,101.8
T042,petit_groupe,4,1,1,0,1,enseigné_sans_test,Versailles,lycee,123.9
T043,fidele_pluriannuel,31,3,1,0,2,enseigné_sans_test,Bordeaux,lycee,92.4
T044,deployeur_classe,33,3,1,0,1,enseigné_sans_test,Lille,lycee,111.7
T045,pionnier_intensif,96,47,2,0,2,enseigné_sans_test,Lille,lycee,129.9
T046,deployeur_classe,25,2,1,0,1,enseigné_sans_test,Créteil,lycee,97.3
T047,petit_groupe,1,1,1,0,1,enseigné_sans_test,Versailles,lycee,122.6
T048,deployeur_classe,42,3,1,0,1,enseigné_sans_test,Toulouse,lycee,141.8
T049,explorateur_multi,9,4,2,0,1,enseigné_sans_test,,,
T050,deployeur_classe,11,1,1,0,1,enseigné_sans_test,Grenoble,lycee,112.6
T051,deployeur_classe,9,1,1,2,1,testé_puis_enseigné,Paris,lycee,116.6
T052,pionnier_intensif,31,13,2,11,2,testé_puis_enseigné,,,
T053,petit_groupe,3,2,2,1,1,testé_puis_enseigné,Lille,lycee,82.9
T054,deployeur_classe,14,1,1,1,1,enseigné_puis_testé,Montpellier,lycee,102.7
T055,deployeur_classe,20,1,1,0,1,enseigné_sans_test,Paris,lycee,103.7
T056,petit_groupe,1,1,1,0,1,enseigné_sans_test,,,
T057,petit_groupe,4,1,1,0,1,enseigné_sans_test,Créteil,lycee,96.4
T058,petit_groupe,6,1,1,0,1,enseigné_sans_test,,,
T059,petit_groupe,4,2,1,0,1,enseigné_sans_test,Grenoble,lycee,105.1
T060,deployeur_classe,16,1,1,0,1,enseigné_sans_test,Versailles,lycee,114.7
T061,fidele_pluriannuel,33,2,1,0,2,enseigné_sans_test,Toulouse,lycee,129.5
T062,deployeur_classe,15,1,1,1,1,testé_puis_enseigné,Montpellier,lycee,100.0
T063,deployeur_classe,9,1,1,0,1,enseigné_sans_test,,,
T064,deployeur_classe,12,1,1,0,1,enseigné_sans_test,Reims,lycee,
T065,deployeur_classe,53,2,1,0,1,enseigné_sans_test,Bordeaux,lycee,115.8
T066,fidele_pluriannuel,44,4,1,0,2,enseigné_sans_test,Montpellier,lycee,117.2
T067,petit_groupe,1,1,1,0,1,enseigné_sans_test,Nantes,lycee,126.1
T068,deployeur_classe,15,1,1,1,1,enseigné_puis_testé,Nantes,lycee,121.3
T069,explorateur_multi,23,2,2,0,1,enseigné_sans_test,Paris,lycee,131.3
T070,deployeur_classe,16,2,1,0,1,enseigné_sans_test,Reims,lycee,107.5
T071,deployeur_classe,38,3,1,0,1,enseigné_sans_test,Lille,lycee,122.1
T072,deployeur_classe,11,2,1,3,1,testé_puis_enseigné,Aix-Marseille,lycee,91.8
T073,explorateur_multi,49,4,2,1,1,testé_puis_enseigné,Lille,lycee,101.4
T074,pionnier_intensif,3,3,3,0,1,enseigné_sans_test,,,
T075,petit_groupe,6,1,1,0,1,enseigné_sans_test,Versailles,lycee,89.3
T076,deployeur_classe,28,2,1,0,1,enseigné_sans_test,Paris,lycee,132.7
T077,explorateur_multi,4,3,2,3,1,enseigné_puis_testé,Bordeaux,college,104.4
T078,petit_groupe,3,1,1,0,1,enseigné_sans_test,Rennes,lycee,119.4
T079,deployeur_classe,36,5,1,0,1,enseigné_sans_test,Lille,lycee,106.5
T080,pionnier_intensif,36,6,1,41,1,testé_puis_enseigné,,,
T081,deployeur_classe,28,1,1,0,1,enseigné_sans_test,Rennes,lycee,139.1
T082,deployeur_classe,17,1,1,0,1,enseigné_sans_test,Lille,lycee,101.4
T083,deployeur_classe,17,1,1,1,1,testé_puis_enseigné,Strasbourg,lycee,115.8
T084,petit_groupe,6,2,1,1,1,testé_puis_enseigné,Dijon,lycee,95.5
T085,deployeur_classe,15,4,1,2,1,enseigné_puis_testé,Lille,lycee,106.5
T086,deployeur_classe,23,2,1,0,1,enseigné_sans_test,Versailles,lycee,120.3
T087,deployeur_classe,45,2,1,0,1,enseigné_sans_test,Versailles,lycee,111.6
T088,deployeur_classe,26,3,1,0,1,enseigné_sans_test,,,
T089,petit_groupe,7,1,1,0,1,enseigné_sans_test,Lyon,lycee,108.1
T090,deployeur_classe,30,2,1,0,1,enseigné_sans_test,Polynésie Française,lycee,
T091,pionnier_intensif,19,3,3,0,1,enseigné_sans_test,Lyon,lycee,112.1
T092,deployeur_classe,17,2,1,1,1,enseigné_puis_testé,Rennes,lycee,107.3
T093,petit_groupe,1,1,1,0,1,enseigné_sans_test,,,
