code,label,type,date,n_profs,n_uai,at_used,pct_used,usage_after,usage_before_endogene,clicked_cap
7.0,Tous les anciens formés avant le 15/01/26,ancienne_vague,,126,33,10,30.3,0,0,0
12.0,ENS_25,presentiel,2025-09-01,52,3,0,0.0,0,0,0
1.0,St Brieuc 15/01/12,presentiel,2026-01-15,41,34,4,11.8,1,3,0
13.0,202410_LILLE,presentiel,2024-10-01,40,6,4,66.7,2,1,0
22.0,webinaire 07_01_25,webinaire,2025-01-07,37,19,7,36.8,5,1,0
33.0,Narbonne 24 mars 26,presentiel,2026-03-24,26,26,1,3.8,0,1,0
44.0,Journée maths et IA de l'IREM de Dijon,presentiel,2026-06-18,21,19,1,5.3,0,1,0
20.0,Web Basque 27 nov 2025,webinaire,2025-11-27,20,0,0,,0,0,0
16.0,20250422 AMIENS,presentiel,2025-04-22,19,1,1,100.0,1,0,0
8.0,A classer (anciens formés avec une date),ancienne_vague,,19,1,0,0.0,0,0,0
43.0,Labomaths de l’académie d’Aix Marseille,presentiel,2026-06-04,18,18,0,0.0,0,0,0
9.0,Calais lycée Pro 11/02/26,presentiel,2026-02-11,17,16,9,56.2,2,1,0
42.0,"Formation à l'IREM d'Aquitaine, 27 mai 2026",presentiel,2026-05-27,16,15,2,13.3,2,0,0
37.0,Nîmes 9 avril 2026,presentiel,2026-04-09,13,13,0,0.0,0,0,0
11.0,MEEF INSPÉ Paris 17-02-26,presentiel,2026-02-17,13,2,0,0.0,0,0,0
40.0,Arpajon (Versailles) 12 mai 26,presentiel,2026-05-12,13,13,10,76.9,1,0,0
35.0,Montpellier 31 mars 2026,presentiel,2026-03-31,13,13,1,7.7,0,1,0
41.0,Formation établissement Gif-sur-Yvette,presentiel,2026-05-19,13,13,10,76.9,1,1,0
17.0,MONTPELLIER_25,presentiel,2025-04-29,11,4,3,75.0,3,0,0
38.0,Canet en r. 8 avril 2026,presentiel,2026-04-08,10,9,1,11.1,1,0,0
3.0,APMEP Bordeaux 31 janvier,presentiel,2026-01-31,9,7,1,14.3,1,0,0
36.0,AEFE 7 avril baris dogan,webinaire,2026-04-06,9,4,0,0.0,0,0,0
21.0,INSPE Formation 26/11,presentiel,2025-11-26,9,2,2,100.0,2,0,0
19.0,APMEP_TOULON_20_10_25,presentiel,2025-10-20,9,0,0,,0,0,0
27.0,Web + espagne portugal 4 mars 26,webinaire,2026-03-04,7,7,1,14.3,1,0,0
10.0,Web 16 fev 26,webinaire,2026-02-16,6,6,2,33.3,1,1,0
25.0,Webinaire 25/11,webinaire,2025-11-25,6,2,2,100.0,1,1,0
4.0,Web 3 février 2026,webinaire,2026-02-03,5,5,1,20.0,0,1,0
23.0,webinaire 13 octobre,webinaire,2025-10-13,5,3,0,0.0,0,0,0
2.0,Web 22 janvier 2026,webinaire,2026-01-22,4,4,0,0.0,0,0,0
30.0,Webinaire découverte : Utilisation des ressources pour profe,webinaire,2026-04-22,4,2,1,50.0,1,0,0
6.0,Web Creteil 09 fev 26,webinaire,2026-02-09,4,4,1,25.0,1,0,0
49.0,Formation présentation Lycée Angers,webinaire,2026-06-11,3,3,3,100.0,0,1,0
29.0,Webinaire découverte : Utilisation des ressources pour profe,webinaire,2026-04-16,3,3,2,66.7,1,1,0
32.0,Webinaire découverte : Utilisation des ressources pour profe,webinaire,2026-06-01,2,2,0,0.0,0,0,0
15.0,POLYNESIE_25,webinaire,2025-05-14,2,0,0,,0,0,0
,,ancienne_vague,,2,1,0,0.0,0,0,0
31.0,Webinaire découverte : Utilisation des ressources pour profe,webinaire,2026-05-05,2,2,1,50.0,0,1,0
26.0,webinaire 13/11/25,webinaire,2025-11-13,2,2,1,50.0,1,0,0
