uai,n_formes,commune,acad,etab_type,formation_month,any_capytale_usage,usage_after_formation,pupils
0333273D,1,Bègles,Bordeaux,lycee,2026-01,True,True,283
0624141P,1,Calais,Lille,lycee,2024-10,True,True,276
0590117G,2,Lille,Lille,lycee,2024-10,True,False,198
0620140R,1,Montreuil-sur-Mer,Lille,lycee,2024-10,True,True,104
0212045J,1,Beaune,Dijon,lycee,2026-06,True,False,71
0910626L,3,Orsay,Versailles,lycee,2026-05,True,False,70
0341794R,1,Lattes,Montpellier,lycee,2025-04,True,True,66
0750655E,1,Paris  5e  Arrondissement,Paris,lycee,2026-01,True,False,62
0110023R,1,Narbonne,Montpellier,lycee,2026-03,True,False,50
0660004W,1,Céret,Montpellier,lycee,2026-04,True,True,47
0342090M,1,Lunel,Montpellier,lycee,2026-03,True,False,43
0340039H,1,Montpellier,Montpellier,lycee,2025-04,True,True,36
0300950V,1,Bagnols-sur-Cèze,Montpellier,lycee,2025-04,True,True,33
0333583R,1,Créon,Bordeaux,lycee,2026-05,True,True,31
0332745E,1,Blanquefort,Bordeaux,lycee,2026-05,True,True,28
0597005U,1,Estaires,Lille,lycee,2025-11,True,True,28
0600002B,1,Beauvais,Amiens,lycee,2025-04,True,True,25
0752248L,1,Paris  2e  Arrondissement,Paris,college,2026-01,True,True,23
0781949V,7,Guyancourt,Versailles,lycee,2026-05,True,True,16
0590102R,4,Hazebrouck,Lille,lycee,2026-02,True,True,7
0590223X,1,Valenciennes,Lille,lycee,2025-11,True,True,5
0620189U,3,Calais,Lille,lycee,2026-02,True,False,4
0590198V,2,Dunkerque,Lille,lycee,2026-02,True,True,2
0932638M,1,Noisy-le-Grand,Creteil,lycee,2026-01,True,False,1
0911632E,10,Arpajon,Versailles,lycee,2026-05,True,True,1
0750660K,1,Paris  6e  Arrondissement,Paris,lycee,2026-01,True,False,1
0930121B,1,Montreuil,Creteil,lycee,2026-01,False,False,0
0540030P,1,Longwy,NancyMetz,lycee,2026-06,False,False,0
0590214M,2,Tourcoing,Lille,lycee,2024-10,False,False,0
0580753D,1,Nevers,Dijon,lycee,2026-06,False,False,0
0590217R,1,Tourcoing,Lille,lycee,2026-02,False,False,0
0561698S,1,Lanester,Rennes,lycee,2026-01,False,False,0
0352260S,2,Betton,Rennes,college,2026-01,False,False,0
0480009Z,1,Mende,Montpellier,lycee,2026-03,False,False,0
0352958A,1,Bréal-sous-Montfort,Rennes,college,2026-01,False,False,0
0352760K,1,La Mézière,Rennes,college,2026-01,False,False,0
0352030S,1,Mordelles,Rennes,college,2026-01,False,False,0
0351909K,1,Vitré,Rennes,college,2026-01,False,False,0
0350700W,1,Le Rheu,Rennes,lycee,2026-01,False,False,0
0350053T,1,Vitré,Rennes,lycee,2026-01,False,False,0
0350028R,1,Rennes,Rennes,lycee,2026-01,False,False,0
0350026N,1,Rennes,Rennes,lycee,2026-01,False,False,0
0342580V,1,Maraussan,Montpellier,college,2026-03,False,False,0
0342488V,1,Montpellier,Montpellier,college,2026-03,False,False,0
0342266D,1,Montpellier,Montpellier,lycee,2026-03,False,False,0
0342050U,2,Vendres,Montpellier,college,2026-03,False,False,0
0590263R,1,Coudekerque-Branche,Lille,lycee,2026-02,False,False,0
0911961M,3,Arpajon,Versailles,lycee,2026-05,False,False,0
0594302F,3,Marly,Lille,lycee,2026-02,False,False,0
0750607C,1,Paris 11e  Arrondissement,Paris,college,2026-01,False,False,0
0840041N,2,Avignon,AixMarseille,lycee,2026-06,False,False,0
0840007B,1,Avignon,AixMarseille,college,2026-06,False,False,0
0783351U,3,Versailles,Versailles,lycee,2026-05,False,False,0
0761778V,1,Darnétal,Normandie,college,2026-01,False,False,0
0754706H,1,Paris 18e  Arrondissement,Paris,college,2026-01,False,False,0
0754475G,2,Paris 15e  Arrondissement,Paris,lycee,2026-01,False,False,0
0754355B,1,Paris 20e  Arrondissement,Paris,college,2026-01,False,False,0
0753948J,1,Paris 16e  Arrondissement,Paris,lycee,2025-09,False,False,0
0752550P,1,Paris 16e  Arrondissement,Paris,college,2026-01,False,False,0
0752548M,2,Paris 16e  Arrondissement,Paris,college,2026-01,False,False,0
0751791P,1,Paris  8e  Arrondissement,Paris,college,2026-01,False,False,0
0750698B,1,Paris 16e  Arrondissement,Paris,lycee,2026-01,False,False,0
0750654D,1,Paris  5e  Arrondissement,Paris,lycee,2026-02,False,False,0
0750507U,2,Paris 19e  Arrondissement,Paris,college,2026-01,False,False,0
0594652L,1,Grande-Synthe,Lille,lycee,2026-02,False,False,0
0710018J,2,Charolles,Dijon,lycee,2026-06,False,False,0
0710010A,1,Chalon-sur-Saône,Dijon,lycee,2026-06,False,False,0
0671455T,1,Illkirch-Graffenstaden,Strasbourg,lycee,2026-02,False,False,0
0660866H,1,Pia,Montpellier,college,2026-04,False,False,0
0660856X,1,Canet-en-Roussillon,Montpellier,lycee,2025-04,False,False,0
0660600U,1,Bourg-Madame,Montpellier,college,2026-04,False,False,0
0660051X,1,Perpignan,Montpellier,college,2026-04,False,False,0
0660049V,3,Perpignan,Montpellier,college,2026-04,False,False,0
0660021P,2,Prades,Montpellier,lycee,2026-04,False,False,0
0341711A,1,Mudaison,Montpellier,lycee,2026-03,False,False,0
0620256S,1,Arras,Lille,lycee,2025-09,False,False,0
0620221D,1,Outreau,Lille,lycee,2026-02,False,False,0
0891200W,1,Sens,Dijon,lycee,2026-06,False,False,0
0040587S,1,Manosque,AixMarseille,college,2026-06,False,False,0
0341066Z,2,Béziers,Montpellier,college,2026-03,False,False,0
0341577E,1,Baillargues,Montpellier,college,2026-03,False,False,0
0341387Y,1,Servian,Montpellier,college,2026-03,False,False,0
0132572A,1,Arles,AixMarseille,college,2026-06,False,False,0
0133195C,1,Miramas,AixMarseille,lycee,2026-06,False,False,0
0133621R,1,Saint-Andiol,AixMarseille,college,2026-06,False,False,0
0134003F,1,Marseille 12e  Arrondissement,AixMarseille,lycee,2026-06,False,False,0
0134155W,1,Marseille 13e  Arrondissement,AixMarseille,lycee,2026-06,False,False,0
0210006T,1,Beaune,Dijon,lycee,2026-06,False,False,0
0210012Z,1,Brochon,Dijon,lycee,2026-06,False,False,0
0210014B,1,Châtillon-sur-Seine,Dijon,college,2026-06,False,False,0
0210047M,1,Semur-en-Auxois,Dijon,lycee,2026-06,False,False,0
0210051S,1,Sombernon,Dijon,college,2026-06,False,False,0
0211033J,2,Dijon,Dijon,lycee,2026-06,False,False,0
0211091X,1,Dijon,Dijon,lycee,2026-06,False,False,0
0211137X,1,Chevigny-Saint-Sauveur,Dijon,college,2026-06,False,False,0
0211162Z,1,Dijon,Dijon,college,2026-06,False,False,0
0211230Y,1,Beaune,Dijon,college,2026-06,False,False,0
0132495S,2,Istres,AixMarseille,lycee,2026-06,False,False,0
0131610E,2,Arles,AixMarseille,college,2026-06,False,False,0
0131603X,1,Marseille  8e  Arrondissement,AixMarseille,college,2026-06,False,False,0
0110666P,1,Carcassonne,Montpellier,college,2026-03,False,False,0
0110007Y,1,Carcassonne,Montpellier,lycee,2026-03,False,False,0
0110012D,1,Castelnaudary,Montpellier,lycee,2026-03,False,False,0
0110021N,1,Narbonne,Montpellier,college,2026-03,False,False,0
0110025T,1,Narbonne,Montpellier,college,2026-03,False,False,0
0110068P,1,Narbonne,Montpellier,college,2026-03,False,False,0
0110665N,1,Carcassonne,Montpellier,college,2026-03,False,False,0
0110672W,1,Carcassonne,Montpellier,college,2026-03,False,False,0
0131345S,2,Marseille 12e  Arrondissement,AixMarseille,lycee,2026-06,False,False,0
0110810W,1,Carcassonne,Montpellier,college,2026-03,False,False,0
0110859Z,2,Limoux,Montpellier,college,2026-03,False,False,0
0111015U,2,Saint-Nazaire-d'Aude,Montpellier,college,2026-03,False,False,0
0111048E,1,Lézignan-Corbières,Montpellier,lycee,2026-03,False,False,0
0111051H,1,Lézignan-Corbières,Montpellier,college,2026-03,False,False,0
0130050J,1,Marseille 13e  Arrondissement,AixMarseille,lycee,2026-06,False,False,0
0211523S,1,Talant,Dijon,college,2026-06,False,False,0
0220008P,1,Le Mené,Rennes,college,2026-01,False,False,0
0220056S,1,Saint-Brieuc,Rennes,lycee,2026-01,False,False,0
0340034C,1,Marsillargues,Montpellier,college,2026-04,False,False,0
0332831Y,1,Le Taillan-Médoc,Bordeaux,lycee,2026-05,False,False,0
0332870R,1,Gujan-Mestras,Bordeaux,lycee,2026-05,False,False,0
0333121N,1,Marcheprime,Bordeaux,college,2026-05,False,False,0
0333582P,1,Le Barp,Bordeaux,lycee,2026-05,False,False,0
0340002T,3,Agde,Montpellier,lycee,2026-03,False,False,0
0340028W,1,Lodève,Montpellier,lycee,2026-03,False,False,0
0340051W,1,Montpellier,Montpellier,college,2026-03,False,False,0
0332486Y,1,Floirac,Bordeaux,college,2026-05,False,False,0
0340059E,1,Pézenas,Montpellier,lycee,2026-03,False,False,0
0340110K,1,Saint-Clément-de-Rivière,Montpellier,college,2026-03,False,False,0
0340902W,1,Montpellier,Montpellier,college,2026-03,False,False,0
0341065Y,1,Sète,Montpellier,college,2026-03,False,False,0
0050638S,1,Tallard,AixMarseille,college,2026-06,False,False,0
0341386X,2,Gignac,Montpellier,college,2026-03,False,False,0
0332722E,3,Pessac,Bordeaux,lycee,2026-05,False,False,0
0331502D,2,Bordeaux,Bordeaux,lycee,2026-05,False,False,0
0220060W,1,Saint-Brieuc,Rennes,lycee,2026-01,False,False,0
0300052U,1,Le Vigan,Montpellier,lycee,2026-04,False,False,0
0290007A,1,Brest,Rennes,lycee,2026-01,False,False,0
0290030A,1,Concarneau,Rennes,lycee,2026-01,False,False,0
0290044R,1,Landerneau,Rennes,lycee,2026-01,False,False,0
0300016E,1,Génolhac,Montpellier,college,2026-04,False,False,0
0300021K,5,Nîmes,Montpellier,lycee,2026-04,False,False,0
0300027S,1,Nîmes,Montpellier,lycee,2026-04,False,False,0
0301209B,1,Bouillargues,Montpellier,college,2026-04,False,False,0
0331495W,2,Bordeaux,Bordeaux,lycee,2026-05,False,False,0
0301670C,1,Saint-Geniès-de-Malgoirès,Montpellier,college,2026-04,False,False,0
0301722J,1,Villeneuve-lès-Avignon,Montpellier,lycee,2026-04,False,False,0
0301723K,1,Clarensac,Montpellier,college,2026-04,False,False,0
0330027A,2,Bordeaux,Bordeaux,lycee,2026-01,False,False,0
0330029C,2,Bordeaux,Bordeaux,lycee,2026-01,False,False,0
0330126H,2,Talence,Bordeaux,lycee,2026-01,False,False,0
AEFE:lycee-francais-de-barcelone,1,Barcelone (Espagne),Etranger,lycee,2025-09,False,False,0
