Nom officiel,UAI,Académie,Commune,Nombre de profs,Total usages
Lycée Polyvalent de Cachan,0940580V,Créteil,Cachan,1,1
Lycée général et technologique Marcelin Berthelot,0930124E,Créteil,Pantin,1,36
Lycée général et technologique Van Dongen,0771512A,Créteil,Lagny-sur-Marne,1,3
Lycée général et technologique Voillaume,0930834B,Créteil,Aulnay-sous-Bois,1,2
Lycée polyvalent Guillaume Budé,0940742W,Créteil,Limeil-Brévannes,1,5
Lycée polyvalent International de l'Est Parisien,0932638M,Créteil,Noisy-le-Grand,1,1
Lycée polyvalent Jean Rostand,0931584S,Créteil,Villepinte,1,36
Lycée général et technologique Henri Bergson,0750711R,Paris,Paris 19e  Arrondissement,2,21
Lycée général et technologique Janson de Sailly,0750699C,Paris,Paris 16e  Arrondissement,2,6
Lycée général Colbert,0750673Z,Paris,Paris 10e  Arrondissement,1,11
Lycée général Montaigne,0750657G,Paris,Paris  6e  Arrondissement,1,1
Lycée général Victor Duruy,0750662M,Paris,Paris  7e  Arrondissement,1,18
Lycée général et technologique Emile Dubois,0750692V,Paris,Paris 14e  Arrondissement,1,1
Lycée général et technologique Jean-Baptiste Say,0750700D,Paris,Paris 16e  Arrondissement,1,1
Lycée général et technologique Paul Valéry,0750679F,Paris,Paris 12e  Arrondissement,1,1
Lycée général et technologisue Jacques Decour,0750668U,Paris,Paris  9e  Arrondissement,1,1
Lycée polyvalent Caroline Dorian,0750676C,Paris,Paris 11e  Arrondissement,1,1
Lycée polyvalent Diderot - Lycée des métiers de l'ingénierie industrielle et de l'horlogerie,0750712S,Paris,Paris 19e  Arrondissement,1,1
Lycée polyvalent privé Le Rebours,0754042L,Paris,Paris 13e  Arrondissement,1,23
Lycée général et technologique François Villon,0780422K,Versailles,Les Mureaux,2,66
Lycée général et technologique Vincent Van Gogh,0781859X,Versailles,Aubergenville,2,8
"Lycée polyvalent Camille Claudel, lycée des métiers des arts et du design",0951710T,Versailles,Vauréal,2,45
Lycée général et technologique Alain,0782568T,Versailles,Le Vésinet,1,1
Lycée général et technologique Guy de Maupassant,0920137Z,Versailles,Colombes,1,1
Lycée général et technologique Montesquieu,0951723G,Versailles,Herblay-sur-Seine,1,2
Lycée général et technologique Philippe Kieffer,0952284S,Versailles,Cormeilles-en-Parisis,1,1
Lycée général et technologique Rosa Parks,0910625K,Versailles,Montgeron,1,38
Lycée général et technologique Saint-Exupéry,0782539L,Versailles,Mantes-la-Jolie,1,1
Lycée polyvalent Jean Perrin,0951104J,Versailles,Saint-Ouen-l'Aumône,1,3
Lycée polyvalent Joliot-Curie,0920141D,Versailles,Nanterre,1,4
"Lycée polyvalent Louis Jouvet, Lycée des métiers de la santé et du social",0951763A,Versailles,Taverny,1,10
"Lycée polyvalent Parc de Vilgenis, lycée des métiers du numérique, de l'industrie et des services",0910727W,Versailles,Massy,1,45
