UAI,Nom établissement,Nombre de séances,Nombre de profs,Nombre d'élèves,Académie,Ville
0624141P,Lycée polyvalent Léonard de Vinci,88,3,56,Lille,Calais
0590117G,Lycée général et technologique Louis Pasteur,87,4,76,Lille,Lille
0596925G,Lycée polyvalent Charlotte Perriand,76,3,76,Lille,Genech
0590093F,Lycée polyvalent Beaupré - Lycée des Métiers de la Plasturgie,69,1,56,Lille,Haubourdin
0780422K,Lycée général et technologique François Villon,66,2,66,Versailles,Les Mureaux
0590073J,Lycée général et technologique Auguste Angellier,64,3,62,Lille,Dunkerque
0310036W,Lycée général Pierre de Fermat,62,1,42,Toulouse,Toulouse
0590101P,Lycée général et technologique des Flandres,58,3,48,Lille,Hazebrouck
0590110Z,Lycée général et technologique Jean Perrin,55,2,50,Lille,Lambersart
0690023A,Lycée général et technologique Ampère,50,1,45,Lyon,Lyon 2e  Arrondissement
0341794R,"Lycée polyvalent Jean-François Champollion, Lycée des métiers de la communication et des usages du numérique",50,1,39,Montpellier,Lattes
0620140R,Lycée polyvalent Eugène Woillez,50,2,32,Lille,Montreuil-sur-Mer
0590064Z,Lycée général et technologique Jean-Baptiste Corot,50,1,28,Lille,Douai
0951710T,"Lycée polyvalent Camille Claudel, lycée des métiers des arts et du design",45,2,45,Versailles,Vauréal
0910727W,"Lycée polyvalent Parc de Vilgenis, lycée des métiers du numérique, de l'industrie et des services",45,1,45,Versailles,Massy
0680010S,Lycée polyvalent Blaise Pascal,44,1,23,Strasbourg,Colmar
0590011S,Lycée polyvalent Gustave Eiffel - Lycée des métiers,43,2,43,Lille,Armentières
0590121L,Lycée général et technologique César Baggio,41,2,31,Lille,Lille
9840002E,Lycée général Paul Gauguin,39,2,36,Polynésie Française,Papeete
0910625K,Lycée général et technologique Rosa Parks,38,1,26,Versailles,Montgeron
0930124E,Lycée général et technologique Marcelin Berthelot,36,1,36,Créteil,Pantin
0931584S,Lycée polyvalent Jean Rostand,36,1,36,Créteil,Villepinte
0300950V,Lycée polyvalent Albert Einstein,35,2,35,Montpellier,Bagnols-sur-Cèze
9840024D,LYCEE POLYVALENT Ihi-tea no Vavau,30,1,30,Polynésie Française,Bora-bora
0331760J,Lycée général et technologique Fernand Daguin,30,1,30,Bordeaux,Mérignac
0340039H,Lycée général et technologique Georges Clemenceau,29,2,29,Montpellier,Montpellier
0840003X,Lycée général et technologique Frédéric Mistral,25,1,25,Aix-Marseille,Avignon
0600002B,Lycée polyvalent Paul Langevin - Lycée des métiers de l'industrie et du génie civil,25,2,25,Amiens,Beauvais
0342090M,Lycée polyvalent victor Hugo,25,1,25,Montpellier,Lunel
0754042L,Lycée polyvalent privé Le Rebours,23,1,23,Paris,Paris 13e  Arrondissement
0750711R,Lycée général et technologique Henri Bergson,21,2,21,Paris,Paris 19e  Arrondissement
0750662M,Lycée général Victor Duruy,18,1,18,Paris,Paris  7e  Arrondissement
0310047H,Lycée général et technologique Ozenne,18,1,11,Toulouse,Toulouse
0500035S,Collège Roland Vaudatin,17,1,17,Normandie,Gavray-sur-Sienne
0500002F,Lycée Géneral et Téchnologique Emile Littré,17,1,17,Normandie,Avranches
9740910W,Lycée professionnel Jean Perrin,15,1,15,La Réunion,Saint-André
0130010R,Lycée polyvalent Montmajour,14,1,12,Aix-Marseille,Arles
0800010B,Lycée général Madeleine Michelis,13,1,13,Amiens,Amiens
0141687H,"Lycée polyvalent Jules Verne - Lycée des métiers de l'automobile, de l'industrie et du numérique",13,1,13,Normandie,Mondeville
0080804F,"Lycée d'enseignement général, technologique et professionnel agricole de Rethel",12,1,12,Reims,Rethel
0180005H,Lycée général Alain Fournier,11,1,11,Orléans-Tours,Bourges
0750673Z,Lycée général Colbert,11,1,10,Paris,Paris 10e  Arrondissement
0250010A,Lycée général et technologique Louis Pergaud,10,1,10,Besançon,Besançon
0951763A,"Lycée polyvalent Louis Jouvet, Lycée des métiers de la santé et du social",10,1,10,Versailles,Taverny
0932726H,Collège Miriam Makeba,9,1,9,Créteil,Aubervilliers
0781859X,Lycée général et technologique Vincent Van Gogh,8,2,8,Versailles,Aubergenville
0762976X,"Lycée polyvalent Françoise de Grace - Lycée des métiers E 3S, Environnement, Services, Santé, Social",8,1,8,Normandie,Le Havre
0601863Z,Lycée polyvalent Charles de Gaulle - Lycée des métiers de la restauration et du tourisme,8,2,2,Amiens,Compiègne
0600013N,Lycée général et technologique Cassini,7,1,7,Amiens,Clermont
0750699C,Lycée général et technologique Janson de Sailly,6,2,6,Paris,Paris 16e  Arrondissement
0311323V,Lycée général et technologique Joséphine Baker,6,1,5,Toulouse,Toulouse
0940742W,Lycée polyvalent Guillaume Budé,5,1,5,Créteil,Limeil-Brévannes
0382920T,Lycée général et technologique Marie Curie,4,1,4,Grenoble,Echirolles
0920141D,Lycée polyvalent Joliot-Curie,4,1,4,Versailles,Nanterre
0540070H,Lycée général et technologique Jacques Callot,3,1,3,Nancy-Metz,Vandoeuvre-lès-Nancy
0771512A,Lycée général et technologique Van Dongen,3,1,3,Créteil,Lagny-sur-Marne
0840001V,Lycée polyvalent CHARLES DE GAULLE,3,1,3,Aix-Marseille,Apt
0951104J,Lycée polyvalent Jean Perrin,3,1,3,Versailles,Saint-Ouen-l'Aumône
0951723G,Lycée général et technologique Montesquieu,2,1,2,Versailles,Herblay-sur-Seine
0622803K,Lycée général et technologique Blaise Pascal,2,1,1,Lille,Longuenesse
0930834B,Lycée général et technologique Voillaume,2,1,1,Créteil,Aulnay-sous-Bois
0312093G,Lycée général et technologique international Victor Hugo,2,2,1,Toulouse,Colomiers
0342066L,Lycée polyvalent Jean Jaurès,2,1,1,Montpellier,Saint-Clément-de-Rivière
0382203N,Lycée polyvalent Pablo Neruda - Lycée des métiers de l'électricité et de ses environnements connectés,2,1,1,Grenoble,Saint-Martin-d'Hères
0593992U,Collège Antoine de Saint-Exupéry,1,1,1,Lille,Steenvoorde
0595758N,Collège Etienne Dolet,1,1,1,Lille,Provin
0590103S,Collège Fernande Benoist,1,1,1,Lille,Hazebrouck
0593666P,Collège Gaspard Malo,1,1,1,Lille,Dunkerque
0592713D,Collège Guilleminot,1,1,1,Lille,Dunkerque
0594294X,Collège Henri Dunant,1,1,1,Lille,Merville
0593663L,Collège Jean Deconinck,1,1,1,Lille,Dunkerque
0595712N,Collège Jean Monnet,1,1,1,Lille,Grand-Fort-Philippe
0596988A,Collège Jeanne de Constantinople,1,1,1,Lille,Nieppe
0593182N,Collège Jules Ferry,1,1,1,Lille,Coudekerque-Branche
0590088A,Collège Jules Verne,1,1,1,Lille,Grande-Synthe
0594642A,Collège Lamartine,1,1,1,Lille,Hondschoote
0620088J,Collège Les Quatre Vents,1,1,1,Lille,Guînes
0142271T,Collège Léopold Sédar Senghor,1,1,1,Normandie,Ifs
0590179Z,Collège Paul Machy,1,1,1,Lille,Dunkerque
0590090C,Collège Pierre et Marie Curie,1,1,1,Lille,Gravelines
0594872A,Collège Robert Le Frison,1,1,1,Lille,Cassel
0572931B,Collège privé Saint Pierre Chanel,1,1,1,Nancy-Metz,Thionville
0594541R,Etablissement Régional d'Enseignement Adapté Ignace Pleyel,1,1,1,Lille,Loos
0940580V,Lycée Polyvalent de Cachan,1,1,1,Créteil,Cachan
0490001K,Lycée général David d'Angers,1,1,1,Nantes,Angers
0370035M,Lycée général Descartes,1,1,1,Orléans-Tours,Tours
0750657G,Lycée général Montaigne,1,1,1,Paris,Paris  6e  Arrondissement
0782568T,Lycée général et technologique Alain,1,1,1,Versailles,Le Vésinet
0140014P,Lycée général et technologique Augustin Fresnel,1,1,1,Normandie,Caen
0350028R,Lycée général et technologique Bréquigny,1,1,1,Rennes,Rennes
0330023W,Lycée général et technologique Camille Jullian,1,1,1,Bordeaux,Bordeaux
0750692V,Lycée général et technologique Emile Dubois,1,1,1,Paris,Paris 14e  Arrondissement
0920137Z,Lycée général et technologique Guy de Maupassant,1,1,1,Versailles,Colombes
0750700D,Lycée général et technologique Jean-Baptiste Say,1,1,1,Paris,Paris 16e  Arrondissement
0750679F,Lycée général et technologique Paul Valéry,1,1,1,Paris,Paris 12e  Arrondissement
0952284S,Lycée général et technologique Philippe Kieffer,1,1,1,Versailles,Cormeilles-en-Parisis
0120031U,Lycée général et technologique Raymond Savignac,1,1,1,Toulouse,Villefranche-de-Rouergue
0620006V,Lycée général et technologique Robespierre,1,1,1,Lille,Arras
0782539L,Lycée général et technologique Saint-Exupéry,1,1,1,Versailles,Mantes-la-Jolie
0595867G,Lycée général et technologique international Montebello,1,1,1,Lille,Lille
