nom,uai,type_etablissement,commune,academie,departement,secteur,ips,latitude,longitude
Collège Les Capucins,0360016X,college,Châteauroux,Orléans-Tours,Indre,Public,101.7,46.80942263744407,1.6948998630657919
Lycée polyvalent George Sand,0360019A,lycee,La Châtre,Orléans-Tours,Indre,Public,100.7,46.58353972401974,1.9774405185490846
Collège Jean Rostand,0360038W,college,Tournon-Saint-Martin,Orléans-Tours,Indre,Public,96.3,46.735400754772115,0.9654505251056983
Lycée polyvalent privé Saint Cyr-Sainte Julitte,0360505D,lycee,Issoudun,Orléans-Tours,Indre,Privé,112.8,46.951906349048684,1.9969402386333848
Collège Jean Moulin,0360546Y,college,Saint-Gaultier,Orléans-Tours,Indre,Public,97,46.63434435047339,1.4228894805591905
Collège privé Saint Cyr-Sainte Julitte,0360568X,college,Issoudun,Orléans-Tours,Indre,Privé,113.7,46.95231961512883,1.997040399055048
Ecole secondaire privée Saint Michel,0360671J,lycee,Montierchaume,Orléans-Tours,Indre,Privé,,46.82650982010273,1.7643736180272631
Ecole professionnelle privée Philibert Vrau,0360860P,lycee,Montierchaume,Orléans-Tours,Indre,Privé,,46.82650982010273,1.7643736180272631
Lycée général et technologique Léonard de Vinci,0370001A,lycee,Amboise,Orléans-Tours,Indre-et-Loire,Public,117.5,47.40099688190214,0.9824105459079514
Réseau des collèges de Preuilly-sur-Claise et du Grand-Pressigny,0370026C,college,Preuilly-sur-Claise,Orléans-Tours,Indre-et-Loire,Public,92,46.85785744978883,0.9269202810017807
Lycée général et technologique Balzac,0370036N,lycee,Tours,Orléans-Tours,Indre-et-Loire,Public,118.1,47.3873257543265,0.6870804244411985
Collège François Rabelais,0370045Y,college,Tours,Orléans-Tours,Indre-et-Loire,Public,110.9,47.38534598920548,0.6757803644704092
Collège de Montrésor Jean Lévêque,0370051E,college,Montrésor,Orléans-Tours,Indre-et-Loire,Public,99.4,47.157101728779544,1.2035553857887766
Lycée général et technologique privé Grand Saint Gregoire,0370727P,lycee,Tours,Orléans-Tours,Indre-et-Loire,Privé,129.9,47.40126101536642,0.6837094447493431
Lycée général privé Saint Denis,0370737A,lycee,Loches,Orléans-Tours,Indre-et-Loire,Privé,140.9,47.127387402690786,0.9937400808624735
Collège privé Le Sacré-Coeur,0370739C,college,Richelieu,Orléans-Tours,Indre-et-Loire,Privé,110.1,47.01446083658151,0.322099650248644
"Lycée professionnel privé Notre Dame La Riche, sous le patronage de Saint Vincent de Paul",0370757X,lycee,Tours,Orléans-Tours,Indre-et-Loire,Privé,112.9,47.39025945012596,0.6763564087572175
Collège Pablo Neruda,0370767H,college,Saint-Pierre-des-Corps,Orléans-Tours,Indre-et-Loire,Public,103.1,47.39534124989182,0.7506599073076334
Collège Georges Besse,0370768J,college,Loches,Orléans-Tours,Indre-et-Loire,Public,97,47.12797565902744,0.9821006220178129
Collège Lamartine,0370769K,college,Tours,Orléans-Tours,Indre-et-Loire,Public,88.2,47.38422811064049,0.6681696907981866
Lycée professionnel Victor Laloux - Lycée des métiers de la distribution et des services,0370771M,lycee,Tours,Orléans-Tours,Indre-et-Loire,Public,92.4,47.35943478623753,0.702950004710244
Collège Arche du Lude,0370791J,college,Joué-lès-Tours,Orléans-Tours,Indre-et-Loire,Public,79.4,47.346168623440334,0.6506603450186224
Collège Montaigne,0370884K,college,Tours,Orléans-Tours,Indre-et-Loire,Public,107.4,47.42972005951443,0.6797197129702062
Collège Jules Romains,0370887N,college,Saint-Avertin,Orléans-Tours,Indre-et-Loire,Public,128.4,47.353432647038325,0.722590067133635
"Lycée professionnel d'Arsonval - Lycée des métiers d'art, de l'aménagement de l'espace et de la communication",0370888P,lycee,Joué-lès-Tours,Orléans-Tours,Indre-et-Loire,Public,100.5,47.3468747310573,0.6684495155026476
Collège Pierre Corneille,0370991B,college,Tours,Orléans-Tours,Indre-et-Loire,Public,98.4,47.37611461336685,0.7311393583111294
Collège Val de l'Indre,0370993D,college,Monts,Orléans-Tours,Indre-et-Loire,Public,116.8,47.27948743830694,0.6525693951303948
Collège La Bruyere,0371158H,college,Tours,Orléans-Tours,Indre-et-Loire,Public,92,47.419767086502176,0.681989836662814
