link_id,code,label,mathadata_id,mathadata_title,resource_slug,date_paris,window_start,window_end,visits,unique_visits,clicks,scans,extracted_at
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2025-12-25,2025-12-25T00:00:00+01:00,2025-12-26T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-01-04,2026-01-04T00:00:00+01:00,2026-01-05T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-01-13,2026-01-13T00:00:00+01:00,2026-01-14T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-01-20,2026-01-20T00:00:00+01:00,2026-01-21T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-02-06,2026-02-06T00:00:00+01:00,2026-02-07T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-02-08,2026-02-08T00:00:00+01:00,2026-02-09T00:00:00+01:00,2,1,2,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-04-02,2026-04-02T00:00:00+02:00,2026-04-03T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-04-08,2026-04-08T00:00:00+02:00,2026-04-09T00:00:00+02:00,2,1,2,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-04-13,2026-04-13T00:00:00+02:00,2026-04-14T00:00:00+02:00,2,2,2,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-04-18,2026-04-18T00:00:00+02:00,2026-04-19T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-04-28,2026-04-28T00:00:00+02:00,2026-04-29T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-05-12,2026-05-12T00:00:00+02:00,2026-05-13T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
0344f35f-c7f3-47bd-ab81-258a4ca6088c,kc5KBw,basthon:geometry2ndedroitevecteurdirecteur-mnist,8790616,MathAData - Équation cartésienne et vecteur directeur pour la classification d'images de chiffres - 2nde,geometry2ndedroitevecteurdirecteur-mnist,2026-05-27,2026-05-27T00:00:00+02:00,2026-05-28T00:00:00+02:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2025-12-25,2025-12-25T00:00:00+01:00,2025-12-26T00:00:00+01:00,4,2,4,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-02,2026-01-02T00:00:00+01:00,2026-01-03T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-07,2026-01-07T00:00:00+01:00,2026-01-08T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
368b3e07-48f8-4e8d-a63d-af498fe9adb6,w9RWJk,basthon:stats-moyenne-histogramme-mnist,3518185,MathAData - Statistiques pour la classification d'images de chiffres- 2nde,stats-moyenne-histogramme-mnist,2026-01-08,2026-01-08T00:00:00+01:00,2026-01-09T00:00:00+01:00,1,1,1,0,2026-06-25T22:43:59+02:00
